,name,inv_cost,safety_inventory,initial_inventory,target_inventory
0,A,0.0057692307692307,38.63642865710943,401.0,763.3984585676172
1,B,0.0057692307692307,37.81257220602685,395.0,753.5033806794438
2,C,0.0057692307692307,22.97139324191288,373.0,723.2951279056279
3,D,0.0057692307692307,17.46382540425673,323.0,630.2226142709145
4,E,0.0057692307692307,200.16134214239227,934.0,1668.3847583839397
5,F,0.0057692307692307,33.53255155499054,385.0,737.7294937049357
6,G,0.0057692307692307,41.21437431109275,450.0,859.1711783865485
7,H,0.0057692307692307,96.32297762101932,498.0,901.3488571222106
8,I,0.0057692307692307,20.53536035808197,333.0,645.8352883926212
9,J,0.0057692307692307,133.58414963786026,654.0,1175.4990533928003
10,ABCDE,0.002,317.04556165169816,2426.0,4538.804339807543
11,FGHIJ,0.002,325.18941348304486,2320.0,4319.583870999117
