zip,name1,name2,name3,latitude,longitude
1920021,東京都,八王子市,丸山町,35.69028483,139.35110029
1920084,東京都,八王子市,三崎町,35.657119099999996,139.33616456
1920014,東京都,八王子市,みつい台,35.6821482,139.32535774
1930932,東京都,八王子市,緑町,35.64755103,139.32683271
1930846,東京都,八王子市,南浅川町,35.61819529,139.2449998
1920364,東京都,八王子市,南大沢,35.61142838,139.37760585
1920075,東京都,八王子市,南新町,35.65875685,139.32990205
1920072,東京都,八王子市,南町,35.65853606,139.33299369
1920916,東京都,八王子市,みなみ野,35.63068671,139.32339271
1920005,東京都,八王子市,宮下町,35.70497723,139.30957316
1920152,東京都,八王子市,美山町,35.69330982,139.23551157
1920046,東京都,八王子市,明神町,35.65823534,139.3466736
1930833,東京都,八王子市,めじろ台,35.64376012,139.30652459
1930826,東京都,八王子市,元八王子町,35.65635451,139.2682496
1920051,東京都,八王子市,元本郷町,35.66525879,139.31708513
1920063,東京都,八王子市,元横山町,35.66361759,139.33751232
1920055,東京都,八王子市,八木町,35.66112046,139.3213977
1920016,東京都,八王子市,谷野町,35.68563278,139.32395884
1930933,東京都,八王子市,山田町,35.64410721,139.31576788
1920375,東京都,八王子市,鑓水,35.61532755,139.35397879
1920071,東京都,八王子市,八日町,35.66012283,139.331086
1930823,東京都,八王子市,横川町,35.66531948,139.30084847
1920081,東京都,八王子市,横山町,35.65979991,139.3369544
1930813,東京都,八王子市,四谷町,35.67722193,139.2972714
1920903,東京都,八王子市,万町,35.65215878,139.33271424
1900000,東京都,立川市,以下に掲載がない場合,35.71401325,139.40784291
1900012,東京都,立川市,曙町,35.70246009,139.4238006
1900015,東京都,立川市,泉町,35.71582806,139.40444786
1900033,東京都,立川市,一番町,35.72870978,139.3783639
1900004,東京都,立川市,柏町,35.72501228,139.41430478
1900032,東京都,立川市,上砂町,35.73126895,139.38996576
1900002,東京都,立川市,幸町,35.72484757,139.42585771
1900003,東京都,立川市,栄町,35.71134922,139.4288219
1900023,東京都,立川市,柴崎町,35.69139779,139.40691848
1900031,東京都,立川市,砂川町,35.72622984,139.40168781
1900011,東京都,立川市,高松町,35.70647635,139.417041
1900022,東京都,立川市,錦町,35.69056425,139.41713469
1900034,東京都,立川市,西砂町,35.73189406,139.36360203
1900021,東京都,立川市,羽衣町,35.69269815,139.42567281
1900013,東京都,立川市,富士見町,35.69589119,139.39579624
1900014,東京都,立川市,緑町,35.70628212,139.40399907
1900001,東京都,立川市,若葉町,35.71895249,139.43885191
1800000,東京都,武蔵野市,以下に掲載がない場合,35.71778363,139.56625967
1800004,東京都,武蔵野市,吉祥寺本町,35.70663422,139.57705718
1800002,東京都,武蔵野市,吉祥寺東町,35.70855035,139.58740933
1800003,東京都,武蔵野市,吉祥寺南町,35.69900527,139.58545097
1800001,東京都,武蔵野市,吉祥寺北町,35.71410439,139.57322332
1800023,東京都,武蔵野市,境南町,35.69868469,139.54153992
1800005,東京都,武蔵野市,御殿山,35.70023587,139.5695381
1800022,東京都,武蔵野市,境,35.70634961,139.54115542
1800021,東京都,武蔵野市,桜堤,35.71284669,139.52707836
1800014,東京都,武蔵野市,関前,35.71134917,139.54733164
1800006,東京都,武蔵野市,中町,35.70755806,139.56471525
1800013,東京都,武蔵野市,西久保,35.70878669,139.55832187
1800012,東京都,武蔵野市,緑町,35.71734082,139.56307407
1800011,東京都,武蔵野市,八幡町,35.71795279,139.55584168
1810000,東京都,三鷹市,以下に掲載がない場合,35.68351231,139.55958379
1810011,東京都,三鷹市,井口,35.69240739999999,139.54663971
1810001,東京都,三鷹市,井の頭,35.69375001,139.58320215
1810015,東京都,三鷹市,大沢,35.67753196,139.5344792
1810012,東京都,三鷹市,上連雀,35.69549314,139.55507273
1810003,東京都,三鷹市,北野,35.67611888,139.58256674
1810013,東京都,三鷹市,下連雀,35.6930458,139.56553485
1810004,東京都,三鷹市,新川,35.67481374,139.57038595
1810016,東京都,三鷹市,深大寺,35.689226500000004,139.53997821
1810005,東京都,三鷹市,中原,35.66725389,139.57293402
1810014,東京都,三鷹市,野崎,35.68396526,139.54414301
1810002,東京都,三鷹市,牟礼,35.68948156,139.58231439
1980000,東京都,青梅市,以下に掲載がない場合,35.78799583,139.27582946
1980087,東京都,青梅市,天ケ瀬町,35.78833661,139.2493771
1980023,東京都,青梅市,今井,35.80622634,139.31569033
1980021,東京都,青梅市,今寺,35.79910672,139.29868205
1980088,東京都,青梅市,裏宿町,35.79062621,139.24282319
1980086,東京都,青梅市,大柳町,35.78587192,139.25030729
1980003,東京都,青梅市,小曾木,35.81584014,139.28420779
1980041,東京都,青梅市,勝沼,35.79299645,139.26290074
1980036,東京都,青梅市,河辺町,35.78033868,139.28852357
1980081,東京都,青梅市,上町,35.79164135,139.25406154
1980013,東京都,青梅市,木野下,35.80695567,139.29475179
1980005,東京都,青梅市,黒沢,35.80810444,139.25150199
1980053,東京都,青梅市,駒木町,35.77625806,139.25251711
1980172,東京都,青梅市,沢井,35.81690277,139.1926277
1980011,東京都,青梅市,塩船,35.80406567,139.28082421
1980024,東京都,青梅市,新町,35.78632849,139.30843673
1980025,東京都,青梅市,末広町,35.77897445,139.31213668
1980084,東京都,青梅市,住江町,35.79002173,139.26077385
1980014,東京都,青梅市,大門,35.79632684,139.29068752
1980085,東京都,青梅市,滝ノ上町,35.78755687,139.2553867
1980043,東京都,青梅市,千ケ瀬町,35.78426766,139.26837923
1980002,東京都,青梅市,富岡,35.82974282,139.29093181
1980051,東京都,青梅市,友田町,35.76545537,139.28737417
1980082,東京都,青梅市,仲町,35.79112117,139.25615659
1980052,東京都,青梅市,長淵,35.77254901,139.26683552
1980001,東京都,青梅市,成木,35.82819668,139.22490404
1980044,東京都,青梅市,西分町,35.789466600000004,139.2638654
1980004,東京都,青梅市,根ケ布,35.8009806,139.26495106
1980032,東京都,青梅市,野上町,35.79180732,139.28851317
1980063,東京都,青梅市,梅郷,35.78463185,139.2139757
1980061,東京都,青梅市,畑中,35.77779766,139.24255302
1980042,東京都,青梅市,東青梅,35.79027188,139.27636903
1980046,東京都,青梅市,日向和田,35.78742648,139.234694
1980015,東京都,青梅市,吹上,35.798852000000004,139.27767888
1980022,東京都,青梅市,藤橋,35.80415095,139.30363116
1980171,東京都,青梅市,二俣尾,35.81035374,139.21686036
1980083,東京都,青梅市,本町,35.79058164,139.25986114
1980174,東京都,青梅市,御岳,35.79006974,139.16967509
1980175,東京都,青梅市,御岳山,35.78373529,139.14886203
1980173,東京都,青梅市,御岳本町,35.80755313,139.18012896
1980089,東京都,青梅市,森下町,35.79170127,139.25139187
1980031,東京都,青梅市,師岡町,35.79110729,139.28422245
1980012,東京都,青梅市,谷野,35.80516074,139.28903234
1980064,東京都,青梅市,柚木町,35.79615997,139.2014673
1980062,東京都,青梅市,和田町,35.77545794,139.23172387
1830000,東京都,府中市,以下に掲載がない場合,35.66897308,139.47766091
1830003,東京都,府中市,朝日町,35.67170617,139.52022554
1830012,東京都,府中市,押立町,35.65399343,139.51176216
1830021,東京都,府中市,片町,35.66967403,139.47080694
1830041,東京都,府中市,北山町,35.68857062,139.45644641
1830056,東京都,府中市,寿町,35.67537151,139.47591713
1830013,東京都,府中市,小柳町,35.65812931,139.50277973
1830014,東京都,府中市,是政,35.65762297,139.48647382
1830054,東京都,府中市,幸町,35.68174096,139.48348127
1830051,東京都,府中市,栄町,35.688842,139.4773435
1830015,東京都,府中市,清水が丘,35.66623731,139.49873551
1830011,東京都,府中市,白糸台,35.66626271,139.51299931
1830052,東京都,府中市,新町,35.69008936,139.49016147
1830034,東京都,府中市,住吉町,35.65950479999999,139.45662849
1830001,東京都,府中市,浅間町,35.68006454,139.49654025
1830002,東京都,府中市,多磨町,35.68469636,139.51327473
1830053,東京都,府中市,天神町,35.68143315,139.4904068
1830043,東京都,府中市,東芝町,35.68131371,139.46640161
1830046,東京都,府中市,西原町,35.68263831,139.45644772
