,child,parent,units,allocation
0,Manuf_0001,Trans_0014,1,0.3333333333333333
1,Manuf_0001,Trans_0015,1,0.3333333333333333
2,Manuf_0001,Trans_0016,1,0.3333333333333333
3,Manuf_0002,Trans_0017,1,0.3333333333333333
4,Manuf_0002,Trans_0018,1,0.3333333333333333
5,Manuf_0002,Trans_0019,1,0.3333333333333333
6,Manuf_0003,Trans_0020,1,0.3333333333333333
7,Manuf_0003,Trans_0021,1,0.3333333333333333
8,Manuf_0003,Trans_0022,1,0.3333333333333333
9,Manuf_0004,Trans_0023,1,0.3333333333333333
10,Manuf_0004,Trans_0024,1,0.3333333333333333
11,Manuf_0004,Trans_0025,1,0.3333333333333333
12,Manuf_0005,Trans_0026,1,0.3333333333333333
13,Manuf_0005,Trans_0027,1,0.3333333333333333
14,Manuf_0005,Trans_0028,1,0.3333333333333333
15,Manuf_0006,Trans_0029,1,0.3333333333333333
16,Manuf_0006,Trans_0030,1,0.3333333333333333
17,Manuf_0006,Trans_0031,1,0.3333333333333333
18,Part_0001,Trans_0001,1,1.0
19,Part_0002,Trans_0002,1,1.0
20,Part_0003,Trans_0003,1,1.0
21,Part_0004,Trans_0004,1,1.0
22,Part_0005,Trans_0005,1,1.0
23,Part_0006,Trans_0006,1,1.0
24,Part_0007,Trans_0007,1,1.0
25,Part_0008,Trans_0008,1,1.0
26,Part_0009,Trans_0009,1,1.0
27,Part_0010,Trans_0010,1,1.0
28,Part_0011,Trans_0011,1,1.0
29,Part_0012,Trans_0012,1,1.0
30,Part_0013,Trans_0013,1,1.0
31,Trans_0001,Manuf_0001,1,0.16666666666666666
32,Trans_0001,Manuf_0002,1,0.16666666666666666
33,Trans_0001,Manuf_0003,1,0.16666666666666666
34,Trans_0001,Manuf_0004,1,0.16666666666666666
35,Trans_0001,Manuf_0005,1,0.16666666666666666
36,Trans_0001,Manuf_0006,1,0.16666666666666666
37,Trans_0002,Manuf_0001,1,0.5
38,Trans_0002,Manuf_0002,1,0.5
39,Trans_0003,Manuf_0003,1,0.5
40,Trans_0003,Manuf_0004,1,0.5
41,Trans_0004,Manuf_0005,1,0.5
42,Trans_0004,Manuf_0006,1,0.5
43,Trans_0005,Manuf_0001,1,0.3333333333333333
44,Trans_0005,Manuf_0003,1,0.3333333333333333
45,Trans_0005,Manuf_0005,1,0.3333333333333333
46,Trans_0006,Manuf_0002,1,0.3333333333333333
47,Trans_0006,Manuf_0004,1,0.3333333333333333
48,Trans_0006,Manuf_0006,1,0.3333333333333333
49,Trans_0007,Manuf_0001,1,0.2
50,Trans_0007,Manuf_0002,1,0.2
51,Trans_0007,Manuf_0004,1,0.2
52,Trans_0007,Manuf_0005,1,0.2
53,Trans_0007,Manuf_0006,1,0.2
54,Trans_0008,Manuf_0001,1,0.16666666666666666
55,Trans_0008,Manuf_0002,1,0.16666666666666666
56,Trans_0008,Manuf_0003,1,0.16666666666666666
57,Trans_0008,Manuf_0004,1,0.16666666666666666
58,Trans_0008,Manuf_0005,1,0.16666666666666666
59,Trans_0008,Manuf_0006,1,0.16666666666666666
60,Trans_0009,Manuf_0001,1,0.16666666666666666
61,Trans_0009,Manuf_0002,1,0.16666666666666666
62,Trans_0009,Manuf_0003,1,0.16666666666666666
63,Trans_0009,Manuf_0004,1,0.16666666666666666
64,Trans_0009,Manuf_0005,1,0.16666666666666666
65,Trans_0009,Manuf_0006,1,0.16666666666666666
66,Trans_0010,Manuf_0001,1,0.16666666666666666
67,Trans_0010,Manuf_0002,1,0.16666666666666666
68,Trans_0010,Manuf_0003,1,0.16666666666666666
69,Trans_0010,Manuf_0004,1,0.16666666666666666
70,Trans_0010,Manuf_0005,1,0.16666666666666666
71,Trans_0010,Manuf_0006,1,0.16666666666666666
72,Trans_0011,Manuf_0001,1,0.16666666666666666
73,Trans_0011,Manuf_0002,1,0.16666666666666666
74,Trans_0011,Manuf_0003,1,0.16666666666666666
75,Trans_0011,Manuf_0004,1,0.16666666666666666
76,Trans_0011,Manuf_0005,1,0.16666666666666666
77,Trans_0011,Manuf_0006,1,0.16666666666666666
78,Trans_0012,Manuf_0001,1,0.16666666666666666
79,Trans_0012,Manuf_0002,1,0.16666666666666666
80,Trans_0012,Manuf_0003,1,0.16666666666666666
81,Trans_0012,Manuf_0004,1,0.16666666666666666
82,Trans_0012,Manuf_0005,1,0.16666666666666666
83,Trans_0012,Manuf_0006,1,0.16666666666666666
84,Trans_0013,Manuf_0001,1,0.16666666666666666
85,Trans_0013,Manuf_0002,1,0.16666666666666666
86,Trans_0013,Manuf_0003,1,0.16666666666666666
87,Trans_0013,Manuf_0004,1,0.16666666666666666
88,Trans_0013,Manuf_0005,1,0.16666666666666666
89,Trans_0013,Manuf_0006,1,0.16666666666666666
90,Trans_0014,Retail_0001,1,1.0
91,Trans_0015,Retail_0002,1,1.0
92,Trans_0016,Retail_0003,1,1.0
93,Trans_0017,Retail_0004,1,1.0
94,Trans_0018,Retail_0005,1,1.0
95,Trans_0019,Retail_0006,1,1.0
96,Trans_0020,Retail_0007,1,1.0
97,Trans_0021,Retail_0008,1,1.0
98,Trans_0022,Retail_0009,1,1.0
99,Trans_0023,Retail_0010,1,1.0
100,Trans_0024,Retail_0011,1,1.0
101,Trans_0025,Retail_0012,1,1.0
102,Trans_0026,Retail_0013,1,1.0
103,Trans_0027,Retail_0014,1,1.0
104,Trans_0028,Retail_0015,1,1.0
105,Trans_0029,Retail_0016,1,1.0
106,Trans_0030,Retail_0017,1,1.0
107,Trans_0031,Retail_0018,1,1.0
