,name,net_replenishment_time,max_guaranteed_LT,processing_time,replenishment_LT,guaranteed_LT,z,average_demand,sigma,h,b,capacity,x,y
0,Dist_0001,0.0,0.0,35.0,0.0,0.0,1.7506860712521692,1620.0,6.164414002968976,213.84,2267.7,16200.0,368,32
1,Dist_0002,0.0,0.0,35.0,0.0,0.0,1.7506860712521692,600.0,5.0,209.79,2224.7,6000.0,368,96
2,Dist_0003,0.0,0.0,35.0,0.0,0.0,1.7506860712521692,150.0,5.0,210.04000000000002,2227.4,1500.0,368,160
3,Dist_0004,0.0,0.0,35.0,0.0,0.0,1.7506860712521692,210.0,5.0,208.93,2215.6,2100.0,368,224
4,Dist_0005,0.0,0.0,35.0,0.0,0.0,1.7506860712521692,300.0,5.0,204.98,2173.7,3000.0,368,288
5,Dist_0006,0.0,0.0,35.0,0.0,0.0,1.7506860712521692,90.0,5.0,205.44000000000003,2178.6,900.0,368,352
6,Dist_0007,0.0,0.0,35.0,0.0,0.0,1.7506860712521692,30.0,5.0,204.56000000000003,2169.2,300.0,368,416
7,Dist_0008,0.0,0.0,14.0,0.0,0.0,1.7506860712521692,420.0,2.0,216.41,2294.9,4200.0,512,32
8,Dist_0009,0.0,0.0,14.0,0.0,0.0,1.7506860712521692,300.0,3.0,216.0,2290.6,3000.0,512,96
9,Dist_0010,0.0,0.0,0.0,0.0,0.0,1.7506860712521692,900.0,5.0,214.89000000000001,2278.8,9000.0,512,160
10,Dist_0011,0.0,0.0,0.0,0.0,0.0,1.7506860712521692,210.0,5.0,216.3,2293.7,2100.0,512,224
11,Manuf_0001,0.0,0.0,35.0,0.0,0.0,1.7506860712521692,1620.0,6.164414002968976,204.82,2172.0,16200.0,224,32
12,Manuf_0002,0.0,0.0,35.0,0.0,0.0,1.7506860712521692,600.0,5.0,205.25,2176.6,6000.0,224,96
13,Manuf_0003,0.0,0.0,35.0,0.0,0.0,1.7506860712521692,150.0,5.0,202.49,2147.3,1500.0,224,160
14,Manuf_0004,0.0,0.0,35.0,0.0,0.0,1.7506860712521692,210.0,5.0,200.38,2124.9,2100.0,224,224
15,Manuf_0005,0.0,0.0,35.0,0.0,0.0,1.7506860712521692,300.0,5.0,200.97,2131.2,3000.0,224,288
16,Manuf_0006,0.0,0.0,35.0,0.0,0.0,1.7506860712521692,90.0,5.0,201.42000000000002,2136.0,900.0,224,352
17,Manuf_0007,0.0,0.0,35.0,0.0,0.0,1.7506860712521692,30.0,5.0,200.60000000000002,2127.3,300.0,224,416
18,Part_0001,0.0,0.0,90.0,0.0,0.0,1.7506860712521692,3000.0,13.711309200802088,26.3,278.9,30000.0,48,32
19,Part_0002,0.0,0.0,120.0,0.0,0.0,1.7506860712521692,3000.0,13.711309200802088,27.92,296.1,30000.0,48,96
20,Part_0003,0.0,0.0,120.0,0.0,0.0,1.7506860712521692,3000.0,13.711309200802088,34.56,366.5,30000.0,48,160
21,Part_0004,0.0,0.0,0.0,0.0,0.0,1.7506860712521692,3000.0,13.711309200802088,106.34,1127.7,30000.0,48,224
