,name,lat,lon,customers,demand
0,0,35.01452304999901,133.91321670999878,"[321, 530, 843]",141626.0164835165
1,1,37.04211563466451,138.7279136790466,"[5, 14, 36, 50, 135, 139, 202, 289, 343, 345, 385, 440, 481, 489, 520, 586, 592, 600, 663, 744, 772, 773, 990]",414223.85989010974
2,2,35.41496594921957,133.3339698355388,"[327, 699, 953]",13038.722527472528
3,3,34.75945590000004,134.22314411000002,"[302, 619, 788, 811, 818]",43863.17307692308
4,4,34.05238948363726,134.35355352031053,"[58, 103, 239, 278, 502, 791, 794, 917]",77809.17582417584
5,5,34.752197332418575,138.0344736466119,"[29, 79, 93, 96, 218, 237, 304, 339, 370, 439, 486, 490, 552, 555, 562, 573, 613, 615, 696, 768, 787, 920]",179787.5686813187
6,6,34.66289609477481,135.16655737150532,"[48, 148, 176, 177, 214, 275, 344, 346, 356, 359, 406, 425, 433, 532, 597, 701, 748, 762, 771, 781, 853, 921]",486511.90934065945
7,7,34.2261980027653,133.86659563752843,"[38, 44, 285, 905]",55698.5989010989
8,8,35.45611222009933,133.86333207999002,"[85, 138, 155, 241, 313, 424, 427, 587, 688, 718, 753, 904, 972]",112976.52472527472
9,9,36.51609551679282,140.35048908869723,"[197, 337, 362, 371, 430, 460, 464, 617, 738, 778, 868, 941]",379690.24725274724
10,10,40.218810613939176,141.21330889819185,"[17, 66, 69, 84, 129, 193, 210, 238, 437, 495, 515, 704, 736, 767, 812, 828, 836, 960, 985, 998]",150714.91758241752
11,11,43.10920577459866,144.69059200351063,"[37, 59, 99, 136, 216, 221, 358, 550, 665, 939]",167539.01098901097
12,12,32.618529323727834,130.8709613343133,"[20, 33, 47, 229, 367, 554, 691, 697, 716, 777, 867, 885, 890, 932, 988]",89481.15384615384
13,13,36.72527908408322,137.12827804841558,"[10, 18, 152, 164, 288, 375, 395, 417, 442, 564, 596, 624, 636, 646, 651, 695, 703, 730, 780, 790, 855, 880, 911, 913, 944, 952, 997]",216891.2225274725
14,14,35.726463399015685,139.77614216320347,"[42, 77, 82, 83, 98, 105, 107, 110, 121, 127, 151, 166, 189, 200, 260, 280, 286, 329, 342, 347, 353, 393, 400, 403, 411, 436, 444, 447, 448, 474, 503, 505, 519, 539, 541, 544, 549, 563, 565, 571, 609, 611, 620, 629, 631, 639, 642, 650, 662, 669, 706, 713, 719, 723, 724, 726, 740, 764, 799, 807, 821, 860, 874, 903, 915, 947, 977]",627347.760989011
15,15,35.509223329973004,138.45143620450116,"[130, 137, 248, 307, 322, 328, 340, 360, 388, 416, 455, 468, 471, 482, 551, 588, 604, 653, 708, 813, 886, 901, 961]",265175.5082417583
16,16,42.14220916934595,139.48336192415803,"[178, 256, 273, 315, 376, 802, 831, 927]",66475.12362637364
17,17,33.22134174773242,131.57474720793653,"[120, 133, 171, 201, 249, 294, 305, 392, 498, 545, 654, 668, 681, 683, 702, 782, 871, 933, 979, 994]",61828.39285714286
18,18,33.95296008498557,133.26576615860597,"[27, 126, 128, 140, 141, 212, 236, 270, 271, 297, 311, 387, 402, 459, 461, 607, 656, 700, 742, 759, 776, 862, 865, 889, 906, 968, 992]",343755.79670329666
19,19,38.714417763391594,141.07701570387448,"[15, 30, 41, 63, 71, 115, 143, 149, 156, 191, 324, 336, 361, 412, 452, 469, 483, 493, 507, 666, 672, 758, 857, 858, 864, 869, 934]",253180.64560439566
20,20,34.2883206144714,132.26033060227982,"[9, 39, 81, 124, 131, 330, 394, 414, 420, 679, 686, 827]",754453.9972527472
21,21,35.39673081674801,135.1545940039697,"[174, 335, 341, 366, 373, 579, 725, 765, 974]",107829.42307692306
22,22,34.54176937002882,135.6742076499924,"[1, 34, 102, 108, 134, 173, 179, 196, 228, 231, 272, 351, 389, 422, 443, 458, 462, 509, 608, 610, 641, 649, 722, 774, 792, 834, 847, 851, 877, 878, 897, 916, 965, 973, 978, 981, 987, 995]",1357985.5082417575
23,23,37.68184370710659,138.87660719240097,"[21, 49, 51, 167, 198, 215, 253, 267, 319, 368, 621, 660, 674, 687, 733, 882, 883, 926, 996]",184459.3681318682
24,24,34.70053142558581,133.9777058997627,"[22, 76, 123, 150, 224, 258, 316, 692, 707, 747, 854, 936, 948]",342542.47252747254
25,25,36.08988909450379,136.28824100472366,"[7, 90, 222, 243, 300, 334, 372, 390, 457, 484, 518, 570, 698, 796, 866, 896, 924, 969, 976]",153990.89285714284
26,26,35.41574961336416,140.03418428797326,"[0, 209, 279, 369, 418, 441, 465, 470, 640, 658, 682, 845, 899, 967]",87149.76648351649
27,27,36.51478937728118,136.8349190102075,"[23, 220, 226, 281, 295, 423, 500, 506, 535, 595, 625, 637, 714, 735, 755, 779, 898]",66154.2445054945
28,28,37.528787984962946,140.52138689974365,"[64, 73, 118, 142, 303, 317, 331, 338, 435, 453, 581, 603, 739, 789, 820, 837, 879, 887, 951, 975, 982, 991]",172262.9532967033
29,29,34.06700912849753,134.19434997805976,"[45, 86, 232, 332, 413, 632, 752]",40738.61263736265
