,child,parent,units,allocation
0,Dist_0001,Manuf_0001,1,0.5
1,Dist_0001,Manuf_0002,1,0.5
2,Dist_0002,Manuf_0001,1,0.5
3,Dist_0002,Manuf_0002,1,0.5
4,Dist_0003,Manuf_0001,1,0.5
5,Dist_0003,Manuf_0002,1,0.5
6,Dist_0004,Manuf_0001,1,0.5
7,Dist_0004,Manuf_0002,1,0.5
8,Dist_0005,Manuf_0001,1,0.5
9,Dist_0005,Manuf_0002,1,0.5
10,Dist_0006,Manuf_0001,1,0.5
11,Dist_0006,Manuf_0002,1,0.5
12,Dist_0007,Manuf_0001,1,0.5
13,Dist_0007,Manuf_0002,1,0.5
14,Dist_0008,Manuf_0001,1,0.5
15,Dist_0008,Manuf_0002,1,0.5
16,Dist_0009,Retail_0001,1,1.0
17,Dist_0010,Retail_0002,1,1.0
18,Manuf_0001,Trans_0011,1,1.0
19,Manuf_0002,Trans_0012,1,1.0
20,Manuf_0003,Dist_0009,1,1.0
21,Manuf_0004,Dist_0010,1,1.0
22,Part_0001,Trans_0001,1,1.0
23,Part_0002,Trans_0002,1,1.0
24,Part_0003,Trans_0003,1,1.0
25,Part_0004,Trans_0004,1,1.0
26,Part_0005,Trans_0005,1,1.0
27,Part_0006,Trans_0006,1,1.0
28,Part_0007,Trans_0007,1,1.0
29,Part_0008,Trans_0008,1,1.0
30,Part_0009,Trans_0009,1,1.0
31,Part_0010,Trans_0010,1,1.0
32,Part_0011,Manuf_0001,1,1.0
33,Part_0012,Manuf_0002,1,1.0
34,Trans_0001,Dist_0001,1,1.0
35,Trans_0002,Dist_0002,1,1.0
36,Trans_0003,Dist_0003,1,1.0
37,Trans_0004,Dist_0004,1,1.0
38,Trans_0005,Dist_0005,1,1.0
39,Trans_0006,Dist_0006,1,1.0
40,Trans_0007,Dist_0007,1,1.0
41,Trans_0008,Dist_0008,1,1.0
42,Trans_0009,Manuf_0001,1,0.5
43,Trans_0009,Manuf_0002,1,0.5
44,Trans_0010,Manuf_0001,1,0.5
45,Trans_0010,Manuf_0002,1,0.5
46,Trans_0011,Manuf_0003,1,1.0
47,Trans_0012,Manuf_0004,1,1.0
