,child,parent,units,allocation
0,Dist_0001,Retail_0001,1,0.5
1,Dist_0001,Retail_0002,1,0.5
2,Dist_0002,Retail_0003,1,0.5
3,Dist_0002,Retail_0004,1,0.5
4,Dist_0003,Retail_0005,1,0.5
5,Dist_0003,Retail_0006,1,0.5
6,Dist_0004,Retail_0007,1,0.5
7,Dist_0004,Retail_0008,1,0.5
8,Dist_0005,Retail_0009,1,0.5
9,Dist_0005,Retail_0010,1,0.5
10,Dist_0006,Retail_0011,1,0.5
11,Dist_0006,Retail_0012,1,0.5
12,Dist_0007,Retail_0013,1,0.5
13,Dist_0007,Retail_0014,1,0.5
14,Dist_0008,Retail_0015,1,0.5
15,Dist_0008,Retail_0016,1,0.5
16,Dist_0009,Retail_0017,1,0.5
17,Dist_0009,Retail_0018,1,0.5
18,Dist_0010,Retail_0019,1,0.5
19,Dist_0010,Retail_0020,1,0.5
20,Dist_0011,Retail_0021,1,0.5
21,Dist_0011,Retail_0022,1,0.5
22,Dist_0012,Retail_0023,1,0.5
23,Dist_0012,Retail_0024,1,0.5
24,Dist_0013,Retail_0025,1,0.5
25,Dist_0013,Retail_0026,1,0.5
26,Dist_0014,Retail_0027,1,0.5
27,Dist_0014,Retail_0028,1,0.5
28,Dist_0015,Retail_0029,1,0.5
29,Dist_0015,Retail_0030,1,0.5
30,Dist_0016,Retail_0031,1,0.5
31,Dist_0016,Retail_0032,1,0.5
32,Dist_0017,Retail_0033,1,0.5
33,Dist_0017,Retail_0034,1,0.5
34,Manuf_0001,Manuf_0014,1,0.09090909090909091
35,Manuf_0001,Manuf_0015,1,0.09090909090909091
36,Manuf_0001,Manuf_0016,1,0.09090909090909091
37,Manuf_0001,Manuf_0017,1,0.09090909090909091
38,Manuf_0001,Manuf_0018,1,0.09090909090909091
39,Manuf_0001,Manuf_0019,1,0.09090909090909091
40,Manuf_0001,Manuf_0020,1,0.09090909090909091
41,Manuf_0001,Manuf_0021,1,0.09090909090909091
42,Manuf_0001,Manuf_0022,1,0.09090909090909091
43,Manuf_0001,Manuf_0023,1,0.09090909090909091
44,Manuf_0001,Manuf_0024,1,0.09090909090909091
45,Manuf_0002,Manuf_0014,1,0.09090909090909091
46,Manuf_0002,Manuf_0015,1,0.09090909090909091
47,Manuf_0002,Manuf_0016,1,0.09090909090909091
48,Manuf_0002,Manuf_0017,1,0.09090909090909091
49,Manuf_0002,Manuf_0018,1,0.09090909090909091
50,Manuf_0002,Manuf_0019,1,0.09090909090909091
51,Manuf_0002,Manuf_0020,1,0.09090909090909091
52,Manuf_0002,Manuf_0021,1,0.09090909090909091
53,Manuf_0002,Manuf_0022,1,0.09090909090909091
54,Manuf_0002,Manuf_0023,1,0.09090909090909091
55,Manuf_0002,Manuf_0024,1,0.09090909090909091
56,Manuf_0003,Manuf_0014,1,0.09090909090909091
57,Manuf_0003,Manuf_0015,1,0.09090909090909091
58,Manuf_0003,Manuf_0016,1,0.09090909090909091
59,Manuf_0003,Manuf_0017,1,0.09090909090909091
60,Manuf_0003,Manuf_0018,1,0.09090909090909091
61,Manuf_0003,Manuf_0019,1,0.09090909090909091
62,Manuf_0003,Manuf_0020,1,0.09090909090909091
63,Manuf_0003,Manuf_0021,1,0.09090909090909091
64,Manuf_0003,Manuf_0022,1,0.09090909090909091
65,Manuf_0003,Manuf_0023,1,0.09090909090909091
66,Manuf_0003,Manuf_0024,1,0.09090909090909091
67,Manuf_0004,Manuf_0014,1,0.09090909090909091
68,Manuf_0004,Manuf_0015,1,0.09090909090909091
69,Manuf_0004,Manuf_0016,1,0.09090909090909091
70,Manuf_0004,Manuf_0017,1,0.09090909090909091
71,Manuf_0004,Manuf_0018,1,0.09090909090909091
72,Manuf_0004,Manuf_0019,1,0.09090909090909091
73,Manuf_0004,Manuf_0020,1,0.09090909090909091
74,Manuf_0004,Manuf_0021,1,0.09090909090909091
75,Manuf_0004,Manuf_0022,1,0.09090909090909091
76,Manuf_0004,Manuf_0023,1,0.09090909090909091
77,Manuf_0004,Manuf_0024,1,0.09090909090909091
78,Manuf_0005,Manuf_0025,1,1.0
79,Manuf_0006,Manuf_0025,1,1.0
80,Manuf_0007,Manuf_0025,1,1.0
81,Manuf_0008,Manuf_0025,1,1.0
82,Manuf_0009,Manuf_0025,1,1.0
83,Manuf_0010,Manuf_0025,1,1.0
84,Manuf_0011,Manuf_0027,1,1.0
85,Manuf_0012,Manuf_0029,1,1.0
86,Manuf_0013,Manuf_0030,1,1.0
87,Manuf_0014,Manuf_0031,1,1.0
88,Manuf_0015,Manuf_0032,1,1.0
89,Manuf_0016,Manuf_0033,1,1.0
90,Manuf_0017,Manuf_0034,1,1.0
91,Manuf_0018,Manuf_0035,1,1.0
92,Manuf_0019,Manuf_0036,1,1.0
93,Manuf_0020,Manuf_0037,1,1.0
