,child,parent,units,allocation
0,Manuf_0001,Manuf_0099,1,0.16666666666666666
1,Manuf_0001,Manuf_0101,1,0.16666666666666666
2,Manuf_0001,Manuf_0102,1,0.16666666666666666
3,Manuf_0001,Manuf_0103,1,0.16666666666666666
4,Manuf_0001,Manuf_0104,1,0.16666666666666666
5,Manuf_0001,Manuf_0107,1,0.16666666666666666
6,Manuf_0002,Manuf_0099,1,0.14285714285714285
7,Manuf_0002,Manuf_0101,1,0.14285714285714285
8,Manuf_0002,Manuf_0102,1,0.14285714285714285
9,Manuf_0002,Manuf_0103,1,0.14285714285714285
10,Manuf_0002,Manuf_0104,1,0.14285714285714285
11,Manuf_0002,Manuf_0106,1,0.14285714285714285
12,Manuf_0002,Manuf_0107,1,0.14285714285714285
13,Manuf_0003,Manuf_0099,1,0.3333333333333333
14,Manuf_0003,Manuf_0101,1,0.3333333333333333
15,Manuf_0003,Manuf_0102,1,0.3333333333333333
16,Manuf_0004,Manuf_0099,1,0.14285714285714285
17,Manuf_0004,Manuf_0101,1,0.14285714285714285
18,Manuf_0004,Manuf_0102,1,0.14285714285714285
19,Manuf_0004,Manuf_0103,1,0.14285714285714285
20,Manuf_0004,Manuf_0104,1,0.14285714285714285
21,Manuf_0004,Manuf_0106,1,0.14285714285714285
22,Manuf_0004,Manuf_0107,1,0.14285714285714285
23,Manuf_0005,Manuf_0099,1,0.14285714285714285
24,Manuf_0005,Manuf_0101,1,0.14285714285714285
25,Manuf_0005,Manuf_0102,1,0.14285714285714285
26,Manuf_0005,Manuf_0103,1,0.14285714285714285
27,Manuf_0005,Manuf_0104,1,0.14285714285714285
28,Manuf_0005,Manuf_0106,1,0.14285714285714285
29,Manuf_0005,Manuf_0107,1,0.14285714285714285
30,Manuf_0006,Manuf_0099,1,0.14285714285714285
31,Manuf_0006,Manuf_0101,1,0.14285714285714285
32,Manuf_0006,Manuf_0102,1,0.14285714285714285
33,Manuf_0006,Manuf_0103,1,0.14285714285714285
34,Manuf_0006,Manuf_0104,1,0.14285714285714285
