,name,net_replenishment_time,max_guaranteed_LT,processing_time,replenishment_LT,guaranteed_LT,z,average_demand,sigma,h,b,capacity,x,y
0,Dist_0001,0.0,5.0,1.0,0.0,0.0,1.7506860712521692,2447.27,2542.55,57.53,610.1,24472.7,656,16
1,Dist_0002,0.0,5.0,9.0,0.0,0.0,1.7506860712521692,2444.35,3214.87,58.18,617.0,24443.5,656,80
2,Dist_0003,0.0,5.0,4.0,0.0,0.0,1.7506860712521692,1001.02,1687.46,89.89,953.2,10010.2,656,144
3,Dist_0004,0.0,3.0,2.0,0.0,0.0,2.0537489106318225,18.0,21.23,93.36,1834.8,180.0,656,208
4,Dist_0005,0.0,3.0,6.0,0.0,0.0,2.0537489106318225,19.29,15.65,127.72999999999999,2510.3,192.89999999999998,656,272
5,Dist_0006,0.0,3.0,5.0,0.0,0.0,2.0537489106318225,20.0,13.0,93.36,1834.8,200.0,656,336
6,Dist_0007,0.0,3.0,2.0,0.0,0.0,2.0537489106318225,93.23,116.31,50.730000000000004,997.0,932.3000000000001,656,400
7,Dist_0008,0.0,3.0,9.0,0.0,0.0,2.0537489106318225,20.81,56.54,60.81,1195.1,208.1,656,464
8,Dist_0009,0.0,3.0,5.0,0.0,0.0,2.0537489106318225,16.55,15.35,51.730000000000004,1016.7,165.5,656,528
9,Dist_0010,0.0,3.0,2.0,0.0,0.0,2.0537489106318225,30.37,35.58,59.43000000000001,1168.0,303.7,656,592
10,Dist_0011,0.0,3.0,9.0,0.0,0.0,2.0537489106318225,13.0,19.0,72.69000000000001,1428.6,130.0,656,656
11,Dist_0012,0.0,3.0,5.0,0.0,0.0,2.0537489106318225,17.0,15.0,58.43000000000001,1148.3,170.0,656,720
12,Dist_0013,0.0,3.0,1.0,0.0,0.0,2.0537489106318225,20.46,24.65,258.13,5073.1,204.60000000000002,656,784
13,Dist_0014,0.0,3.0,7.0,0.0,0.0,2.0537489106318225,15.0,17.0,461.0,9060.2,150.0,656,848
14,Dist_0015,0.0,3.0,6.0,0.0,0.0,2.0537489106318225,14.0,18.0,351.12,6900.7,140.0,656,912
15,Dist_0016,0.0,3.0,1.0,0.0,0.0,2.0537489106318225,20.52,24.95,181.61,3569.3,205.2,656,976
16,Dist_0017,0.0,3.0,10.0,0.0,0.0,2.0537489106318225,15.0,17.0,345.58000000000004,6791.8,150.0,656,1040
17,Dist_0018,0.0,3.0,5.0,0.0,0.0,2.0537489106318225,17.0,19.0,232.02,4560.0,170.0,656,1104
18,Dist_0019,0.0,3.0,2.0,0.0,0.0,2.0537489106318225,12.0,17.0,48.86,960.3,120.0,656,1168
19,Dist_0020,0.0,3.0,6.0,0.0,0.0,2.0537489106318225,16.0,11.0,55.81,1096.9,160.0,656,1232
20,Dist_0021,0.0,3.0,6.0,0.0,0.0,2.0537489106318225,22.4,23.91,50.53,993.1,224.0,656,1296
21,Dist_0022,0.0,3.0,1.0,0.0,0.0,2.0537489106318225,26.15,32.35,48.5,953.2,261.5,656,1360
22,Dist_0023,0.0,3.0,5.0,0.0,0.0,2.0537489106318225,18.26,24.25,55.230000000000004,1085.5,182.60000000000002,656,1424
23,Dist_0024,0.0,3.0,4.0,0.0,0.0,2.0537489106318225,16.07,21.0,52.03,1022.6,160.7,656,1488
24,Dist_0025,0.0,3.0,1.0,0.0,0.0,2.0537489106318225,15.6,19.56,68.0,1336.4,156.0,656,1552
