zip,name1,name2,name3,latitude,longitude
9380082,富山県,黒部市,生地芦区,36.89952956,137.41651396
9380084,富山県,黒部市,生地芦崎,36.89695989,137.41250059
9380081,富山県,黒部市,生地経新,36.89596817,137.41313481
9380061,富山県,黒部市,生地神区,36.8860761,137.42600319
9380072,富山県,黒部市,生地中区,36.8907072,137.42170423
9380071,富山県,黒部市,生地山新,36.8947492,137.41454758
9380085,富山県,黒部市,生地吉田,36.89744589,137.41144374
9380086,富山県,黒部市,生地吉田新,36.89847969,137.41439142
9380063,富山県,黒部市,生地四ツ屋新,36.88048974,137.42153565
9380816,富山県,黒部市,池尻,36.81427161,137.51633263
9380059,富山県,黒部市,石田,36.86039366,137.41489433
9380057,富山県,黒部市,石田新,36.8665687,137.42191555
9380835,富山県,黒部市,石田野,36.85018216,137.47615059
9380043,富山県,黒部市,犬山,36.8573801,137.4262471
9380014,富山県,黒部市,植木,36.88276679999999,137.45137493
9380811,富山県,黒部市,内生谷,36.83547271,137.49638056
9380282,富山県,黒部市,宇奈月温泉,36.81267943,137.57835098
9380177,富山県,黒部市,宇奈月町愛本新,36.88178144,137.54681983
9380175,富山県,黒部市,宇奈月町愛本橋爪東官林地内,36.85909936,137.55789595
9380171,富山県,黒部市,宇奈月町明日,36.86668324,137.56041106
9380281,富山県,黒部市,宇奈月町内山,36.84756318,137.55758668
9380862,富山県,黒部市,宇奈月町浦山,36.86191317,137.51892546
9380274,富山県,黒部市,宇奈月町音澤（１０００～）,36.82071409,137.57660514
9380174,富山県,黒部市,宇奈月町音澤（１～９９９）,36.83505685,137.56807886
9380861,富山県,黒部市,宇奈月町下立,36.85366339,137.53738024
9380863,富山県,黒部市,宇奈月町熊野,36.86775503,137.51433987
9380178,富山県,黒部市,宇奈月町栗虫,36.86882071,137.55407961
9380864,富山県,黒部市,宇奈月町栃屋,36.86667922,137.50613043
9380172,富山県,黒部市,宇奈月町土山,36.87173381,137.56573262
9380173,富山県,黒部市,宇奈月町中谷,36.86515033,137.5570625
9380176,富山県,黒部市,宇奈月町中ノ口,36.8590474,137.55639117
9380179,富山県,黒部市,宇奈月町舟見,36.869980700000006,137.5581908
9380006,富山県,黒部市,大開,36.90843522,137.42305794
9380054,富山県,黒部市,岡,36.86543107,137.42510629
9380801,富山県,黒部市,荻生,36.88310222,137.47510394
9380825,富山県,黒部市,尾山,36.83905821,137.49241892
9380836,富山県,黒部市,鏡野,36.85203092,137.46668362
9380812,富山県,黒部市,笠破,36.8307417,137.50379665
9380022,富山県,黒部市,金屋,36.88658897,137.44126608
9380814,富山県,黒部市,嘉例沢,36.81773307,137.53990633
9380036,富山県,黒部市,北新,36.87484570000001,137.44202524
9380015,富山県,黒部市,北野,36.89061844,137.44990864
9380805,富山県,黒部市,吉城寺,36.86295482,137.47329032
9380052,富山県,黒部市,経立野,36.87575955,137.42032493
9380013,富山県,黒部市,沓掛,36.89409812,137.46013212
9380047,富山県,黒部市,窪野,36.84972372,137.44950328
9380803,富山県,黒部市,栗寺,36.85896648,137.48644898
9380283,富山県,黒部市,黒部峡谷口,36.81464169,137.58643427
9380011,富山県,黒部市,黒部新,36.89997918,137.45215192
9380046,富山県,黒部市,神谷,36.85240564,137.4468115
9380823,富山県,黒部市,釈迦堂,36.8350184,137.48707469
9380058,富山県,黒部市,正光寺新,36.86907554,137.41942079
9380038,富山県,黒部市,新天,36.8686277,137.45932967
9380037,富山県,黒部市,新牧野,36.86779666,137.44644103
9380056,富山県,黒部市,新町,36.86576597,137.41755796
9380045,富山県,黒部市,田家新,36.85399018,137.43856711
9380837,富山県,黒部市,田家野,36.8541374,137.45261206
9380026,富山県,黒部市,田家角内,36.88062593,137.43429716
9380024,富山県,黒部市,高橋,36.87718756,137.43802787
