,name,net_replenishment_time,max_guaranteed_LT,processing_time,replenishment_LT,guaranteed_LT,z,average_demand,sigma,h,b,capacity,x,y
0,Manuf_0001,0.0,0.0,20.0,0.0,0.0,1.1436284018068168,2143.1800000000003,1918.1735163430862,1.25,4.8,21431.800000000003,288,224
1,Manuf_0002,0.0,0.0,20.0,0.0,0.0,1.1436284018068168,2143.1800000000003,1918.1735163430862,1.05,4.0,21431.800000000003,288,256
2,Manuf_0003,0.0,0.0,20.0,0.0,0.0,1.1196786423817167,2335.4199999999996,2646.632954510315,1.45,5.4,23354.199999999997,288,2336
3,Manuf_0004,0.0,0.0,15.0,0.0,0.0,1.1196786423817167,2335.4199999999996,2646.632954510315,1.28,4.7,23354.199999999997,288,2368
4,Manuf_0005,0.0,0.0,5.0,0.0,0.0,1.1436284018068168,2143.1800000000003,1918.1735163430862,0.92,3.5,21431.800000000003,480,288
5,Manuf_0006,0.0,0.0,5.0,0.0,0.0,1.1196786423817167,2335.4199999999996,2646.632954510315,1.3599999999999999,5.0,23354.199999999997,480,2304
6,Manuf_0007,0.0,0.0,20.0,0.0,0.0,1.1436284018068168,2143.1800000000003,1918.1735163430862,4.609999999999999,17.6,21431.800000000003,624,224
7,Manuf_0008,0.0,0.0,20.0,0.0,0.0,1.1196786423817167,2335.4199999999996,2646.632954510315,5.04,18.6,23354.199999999997,624,2336
8,Manuf_0009,0.0,0.0,4.0,0.0,0.0,1.1436284018068168,2143.1800000000003,1918.1735163430862,22.45,85.8,21431.800000000003,896,224
9,Manuf_0010,0.0,0.0,2.0,0.0,0.0,1.1196786423817167,2335.4199999999996,2646.632954510315,27.419999999999998,101.2,23354.199999999997,896,2336
10,Manuf_0011,0.0,0.0,2.0,0.0,0.0,1.1303391749761575,1423.39,1498.380651837176,157.69999999999996,591.1,14233.900000000001,1120,32
11,Manuf_0012,0.0,0.0,2.0,0.0,0.0,1.382994127100638,413.95,634.0775772726868,10.809999999999999,59.7,4139.5,1120,144
12,Manuf_0013,0.0,0.0,6.0,0.0,0.0,1.1503493803760079,235.82000000000002,878.0242074681086,14.949999999999996,57.7,2358.2000000000003,1120,224
13,Manuf_0014,0.0,0.0,4.0,0.0,0.0,1.191816171681395,390.42999999999995,1171.44669947036,148.89999999999998,610.4,3904.2999999999993,1120,304
14,Manuf_0015,0.0,0.0,2.0,0.0,0.0,1.1107716166367854,329.36,248.91301954698955,172.49,628.8,3293.6000000000004,1120,384
15,Manuf_0016,0.0,0.0,4.0,0.0,0.0,1.0364333894937898,297.69,1160.7443498462528,14.939999999999998,49.1,2976.9,1120,576
16,Manuf_0017,0.0,0.0,4.0,0.0,0.0,0.8416212335729143,20.06,65.0,17.68,45.5,200.6,1120,768
17,Manuf_0018,0.0,0.0,6.0,0.0,0.0,0.8416212335729143,15.52,16.16,17.47,44.9,155.2,1120,960
18,Manuf_0019,0.0,0.0,4.0,0.0,0.0,1.0364333894937898,33.480000000000004,41.29927481203514,18.069999999999997,59.4,334.80000000000007,1120,1152
19,Manuf_0020,0.0,0.0,4.0,0.0,0.0,1.0364333894937898,38.269999999999996,72.62167789303687,17.779999999999998,58.5,382.69999999999993,1120,1344
