,prod,cust,demand
0,A,さいたま市,93.25549450549451
1,A,京都市,165.4532967032967
2,A,仙台市,62.17032967032967
3,A,佐賀市,907.4862637362637
4,A,前橋市,85.23351648351648
5,A,千葉市,107.29395604395604
6,A,名古屋市,74.2032967032967
7,A,和歌山市,160.43956043956044
8,A,大分市,104.28571428571429
9,A,大津市,158.43406593406593
10,A,大阪市,63.17307692307692
11,A,奈良市,63.17307692307692
12,A,宇都宮市,73.20054945054945
13,A,宮崎市,76.20879120879121
14,A,富山市,89.24450549450549
15,A,山口市,95.26098901098901
16,A,山形市,71.19505494505495
17,A,岐阜市,105.28846153846153
18,A,岡山市,345.9478021978022
19,A,広島市,77.21153846153847
20,A,徳島市,70.1923076923077
21,A,新宿区,57.15659340659341
22,A,新潟市,90.24725274725274
23,A,札幌市,71.19505494505495
24,A,松山市,121.33241758241758
25,A,松江市,50.137362637362635
26,A,横浜市,147.40384615384616
27,A,水戸市,77.21153846153847
28,A,津市,121.33241758241758
29,A,熊本市,65.17857142857143
30,A,甲府市,66.18131868131869
31,A,盛岡市,67.18406593406593
32,A,神戸市,80.21978021978022
33,A,福井市,69.18956043956044
34,A,福岡市,110.3021978021978
35,A,福島市,83.22802197802197
36,A,秋田市,63.17307692307692
37,A,那覇市,178.48901098901098
38,A,金沢市,72.1978021978022
39,A,長崎市,102.28021978021978
40,A,長野市,84.23076923076923
41,A,青森市,107.29395604395604
42,A,静岡市,414.13461538461536
43,A,高松市,81.22252747252747
44,A,高知市,63.17307692307692
45,A,鳥取市,68.18681318681318
46,A,鹿児島市,83.22802197802197
47,B,さいたま市,66.18131868131869
48,B,京都市,147.40384615384616
49,B,仙台市,74.2032967032967
50,B,佐賀市,854.3406593406594
51,B,前橋市,96.26373626373626
52,B,千葉市,87.23901098901099
53,B,名古屋市,74.2032967032967
54,B,和歌山市,158.43406593406593
55,B,大分市,109.29945054945055
56,B,大津市,154.42307692307693
57,B,大阪市,82.22527472527473
58,B,奈良市,74.2032967032967
59,B,宇都宮市,95.26098901098901
60,B,宮崎市,63.17307692307692
61,B,富山市,91.25
62,B,山口市,85.23351648351648
63,B,山形市,65.17857142857143
64,B,岐阜市,135.37087912087912
65,B,岡山市,342.93956043956047
66,B,広島市,82.22527472527473
67,B,徳島市,53.145604395604394
68,B,新宿区,78.21428571428571
69,B,新潟市,65.17857142857143
70,B,札幌市,78.21428571428571
71,B,松山市,123.33791208791209
72,B,松江市,71.19505494505495
73,B,横浜市,160.43956043956044
74,B,水戸市,75.20604395604396
75,B,津市,90.24725274725274
76,B,熊本市,63.17307692307692
77,B,甲府市,73.20054945054945
78,B,盛岡市,50.137362637362635
79,B,神戸市,48.13186813186813
80,B,福井市,78.21428571428571
81,B,福岡市,108.2967032967033
82,B,福島市,71.19505494505495
83,B,秋田市,80.21978021978022
84,B,那覇市,163.4478021978022
85,B,金沢市,66.18131868131869
86,B,長崎市,104.28571428571429
87,B,長野市,84.23076923076923
88,B,青森市,80.21978021978022
89,B,静岡市,402.10164835164835
90,B,高松市,88.24175824175825
91,B,高知市,64.17582417582418
92,B,鳥取市,64.17582417582418
93,B,鹿児島市,79.21703296703296
94,C,さいたま市,75.20604395604396
95,C,京都市,112.3076923076923
96,C,仙台市,76.20879120879121
97,C,佐賀市,294.8076923076923
98,C,前橋市,55.1510989010989
99,C,千葉市,77.21153846153847
100,C,名古屋市,71.19505494505495
101,C,和歌山市,90.24725274725274
102,C,大分市,66.18131868131869
103,C,大津市,84.23076923076923
104,C,大阪市,58.15934065934066
105,C,奈良市,79.21703296703296
106,C,宇都宮市,50.137362637362635
107,C,宮崎市,85.23351648351648
108,C,富山市,55.1510989010989
109,C,山口市,72.1978021978022
110,C,山形市,64.17582417582418
111,C,岐阜市,85.23351648351648
112,C,岡山市,154.42307692307693
113,C,広島市,79.21703296703296
114,C,徳島市,64.17582417582418
115,C,新宿区,69.18956043956044
116,C,新潟市,64.17582417582418
117,C,札幌市,66.18131868131869
118,C,松山市,82.22527472527473
119,C,松江市,82.22527472527473
120,C,横浜市,95.26098901098901
121,C,水戸市,56.15384615384615
122,C,津市,61.167582417582416
123,C,熊本市,77.21153846153847
124,C,甲府市,69.18956043956044
125,C,盛岡市,63.17307692307692
126,C,神戸市,73.20054945054945
127,C,福井市,70.1923076923077
128,C,福岡市,85.23351648351648
129,C,福島市,76.20879120879121
130,C,秋田市,79.21703296703296
131,C,那覇市,98.26923076923077
132,C,金沢市,70.1923076923077
133,C,長崎市,72.1978021978022
134,C,長野市,61.167582417582416
135,C,青森市,75.20604395604396
136,C,静岡市,184.5054945054945
137,C,高松市,68.18681318681318
138,C,高知市,72.1978021978022
139,C,鳥取市,71.19505494505495
140,C,鹿児島市,89.24450549450549
