,name,lb,ub,fc,vc,lat,lon
0,cust0,0.0,1561149.46,10855,1.0,36.5585621,136.57272527
1,cust1,0.0,1561149.46,10061,1.0,33.3423411,130.5584105
2,cust2,0.0,1561149.46,10533,1.0,35.06747670000001,136.68565757
3,cust3,0.0,1561149.46,10888,1.0,36.36951741,139.95496943
4,cust4,0.0,1561149.46,10384,1.0,35.0326684,138.47654051
5,cust5,0.0,1561149.46,10319,1.0,31.58370818,130.56580097
6,cust6,0.0,1561149.46,10606,1.0,34.74789998,134.01580798
7,cust7,0.0,1561149.46,10980,1.0,35.67365354,139.74952079
8,cust8,0.0,1561149.46,10641,1.0,40.38018018,141.25851902
9,cust9,0.0,1561149.46,10340,1.0,34.67949535,135.49006544
10,cust10,0.0,1561149.46,10746,1.0,37.05514553,140.32155487
11,cust11,0.0,1561149.46,10188,1.0,33.45303512,132.54051755
12,cust12,0.0,1561149.46,10204,1.0,32.52084556,131.68459335
13,cust13,0.0,1561149.46,10022,1.0,33.54676972,133.56545855
14,cust14,0.0,1561149.46,10142,1.0,37.371899299999995,138.55898281
15,cust15,0.0,1561149.46,10408,1.0,34.28376535,132.26287339
16,cust16,0.0,1561149.46,10174,1.0,33.49815385,129.94588308
17,cust17,0.0,1561149.46,10748,1.0,44.09846219,142.35913057
18,cust18,0.0,1561149.46,10491,1.0,39.20305642,140.21021721
19,cust19,0.0,1561149.46,10616,1.0,38.65808651,141.32969449
20,cust20,0.0,1561149.46,10288,1.0,43.05302143,141.85811205
21,cust21,0.0,1561149.46,10208,1.0,33.22380885,129.13534105
22,cust22,0.0,1561149.46,10198,1.0,43.24686534,144.21283695
23,cust23,0.0,1561149.46,10822,1.0,26.39107112,127.72545929
24,cust24,0.0,1561149.46,10152,1.0,41.81579876,140.62977451
25,cust25,0.0,1561149.46,10461,1.0,34.59597481,129.45990908
26,cust26,0.0,1561149.46,10729,1.0,45.31826727,141.66725046
27,cust27,0.0,1561149.46,10163,1.0,42.1422604,139.48312906
28,cust28,0.0,1561149.46,10057,1.0,36.67915543,138.37300153
29,cust29,0.0,1561149.46,10159,1.0,32.99243919,129.13503292
30,cust30,0.0,1561149.46,10250,1.0,43.79247876,143.10795377
31,cust31,0.0,1561149.46,10807,1.0,33.78334376,131.97033565
32,cust32,0.0,1561149.46,10782,1.0,34.26343975,132.92149384
33,cust33,0.0,1561149.46,10369,1.0,32.69099063,128.84470162
34,cust34,0.0,1561149.46,10989,1.0,40.61785617,140.50439308
35,cust35,0.0,1561149.46,10944,1.0,38.04526112,138.25514207
36,cust36,0.0,1561149.46,10622,1.0,35.39670987,135.15455499
37,cust37,0.0,1561149.46,10781,1.0,33.99159689,134.2244115
38,cust38,0.0,1561149.46,10019,1.0,35.47314354,133.04360151
39,cust39,0.0,1561149.46,10655,1.0,33.74553098,129.68776273
