,name,service,pickup,delivery,time_windows,location,location_index,skills,priority
0,合同会社藤本建設,998,[95],[137],"[[319, 14719]]","[139.90124085,39.20252042]",0,[0],47
1,有限会社西之園運輸,1162,[56],[335],"[[829, 15229]]","[140.10505561,39.24525021]",1,"[0,1]",72
2,株式会社村山印刷,1180,[75],[172],"[[1558, 15958]]","[140.61090151,40.24906622]",2,"[0,1]",30
3,青田印刷合同会社,815,[100],[867],"[[1337, 15737]]","[140.13247909,39.69767821]",3,[0],71
4,合同会社山田水産,1103,[70],[815],"[[513, 14913]]","[140.10389690,39.7247671]",4,[0],3
5,有限会社吉田食品,1078,[87],[745],"[[316, 14716]]","[140.47010735,39.15750662]",5,[0],70
6,有限会社青山鉱業,686,[68],[947],"[[209, 14609]]","[139.96378793,40.07398721]",6,"[0,1]",21
7,有限会社喜嶋建設,741,[70],[244],"[[1288, 15688]]","[140.11373362,40.18771907]",7,"[0,1]",49
8,有限会社工藤水産,993,[61],[229],"[[728, 15128]]","[140.14306407,39.63619741]",8,[0],57
9,津田情報株式会社,607,[92],[683],"[[627, 15027]]","[140.07979633,39.64439562]",9,[0],3
