,name,zip,都道府県,市区町村,大字,location
0,合同会社藤本建設,2100818,神奈川県,川崎市川崎区,中瀬,"[139.73002847,35.53989965]"
1,有限会社西之園運輸,2120002,神奈川県,川崎市幸区,小向仲野町,"[139.69631623,35.550211299999994]"
2,株式会社村山印刷,2430038,神奈川県,厚木市,愛名,"[139.32429625,35.44137128]"
3,青田印刷合同会社,2540086,神奈川県,平塚市,豊田平等寺,"[139.32386049,35.35434497]"
4,合同会社山田水産,2530085,神奈川県,茅ヶ崎市,矢畑,"[139.3978099,35.33817349]"
5,有限会社吉田食品,2300036,神奈川県,横浜市鶴見区,浜町,"[139.69349797,35.50098741]"
6,有限会社青山鉱業,2430427,神奈川県,海老名市,杉久保南,"[139.39991385,35.42287767]"
7,有限会社喜嶋建設,2500053,神奈川県,小田原市,穴部,"[139.14524558,35.27923728]"
8,有限会社工藤水産,2520154,神奈川県,相模原市緑区,長竹,"[139.25895432,35.56602922]"
9,津田情報株式会社,2150022,神奈川県,川崎市麻生区,下麻生,"[139.50761136,35.57787764]"
10,山岸農林株式会社,2206033,神奈川県,横浜市西区,みなとみらいクイーンズタワーＡ（３３階）,"[139.63311844,35.45578922]"
11,浜田保険有限会社,2440002,神奈川県,横浜市戸塚区,矢部町,"[139.52836523,35.4074261]"
12,野村建設有限会社,2560815,神奈川県,小田原市,小八幡,"[139.19914003,35.27536285]"
13,山岸電気有限会社,2208134,神奈川県,横浜市西区,みなとみらいランドマークタワー（３４階）,"[139.63150753,35.4546263]"
14,株式会社三宅印刷,2300048,神奈川県,横浜市鶴見区,本町通,"[139.68286791,35.50147478]"
15,有限会社原田情報,2210842,神奈川県,横浜市神奈川区,泉町,"[139.62111944,35.47383782]"
