,from_node,to_node,time
0,0,0,0
1,0,1,2216
2,0,2,3982
3,0,3,1904
4,0,4,1566
5,0,5,5606
6,0,6,1332
7,0,7,3273
8,0,8,3766
9,0,9,3337
10,0,10,2788
11,0,11,2259
12,0,12,3781
13,0,13,3328
14,0,14,1364
15,0,15,2653
16,0,16,4890
17,0,17,2607
18,0,18,3121
19,0,19,3687
20,0,20,2804
21,0,21,3516
22,0,22,4850
23,0,23,3457
24,0,24,3420
25,0,25,1968
26,0,26,3071
27,0,27,4230
28,0,28,2985
29,0,29,2510
30,0,30,3426
31,0,31,1777
32,0,32,3349
33,0,33,2320
34,0,34,2454
35,0,35,2147
36,0,36,2729
37,0,37,1503
38,0,38,4463
39,0,39,3322
40,0,40,2973
41,0,41,2404
42,1,0,2206
43,1,1,0
44,1,2,2363
45,1,3,2477
46,1,4,1227
47,1,5,4542
48,1,6,1058
49,1,7,1655
50,1,8,2148
51,1,9,1719
52,1,10,731
53,1,11,434
54,1,12,2552
55,1,13,2539
56,1,14,1533
57,1,15,595
58,1,16,4101
59,1,17,550
60,1,18,1502
61,1,19,2068
62,1,20,931
63,1,21,1459
64,1,22,3584
65,1,23,1486
66,1,24,1363
67,1,25,1432
68,1,26,2283
69,1,27,2258
70,1,28,928
71,1,29,891
72,1,30,1807
73,1,31,558
74,1,32,2561
75,1,33,392
76,1,34,397
77,1,35,247
78,1,36,835
79,1,37,2427
80,1,38,2406
81,1,39,1264
82,1,40,916
83,1,41,497
84,2,0,3987
85,2,1,2369
86,2,2,0
87,2,3,4684
88,2,4,3435
89,2,5,3078
90,2,6,3265
91,2,7,3723
92,2,8,4216
93,2,9,3787
94,2,10,1848
95,2,11,2502
96,2,12,1088
97,2,13,1076
98,2,14,3740
99,2,15,1966
100,2,16,2638
101,2,17,2140
102,2,18,3570
103,2,19,4136
104,2,20,2918
105,2,21,2207
106,2,22,2157
107,2,23,3472
108,2,24,2327
109,2,25,2370
110,2,26,1384
111,2,27,4245
112,2,28,1923
113,2,29,2959
114,2,30,3875
115,2,31,2765
116,2,32,844
117,2,33,2460
118,2,34,2069
119,2,35,2415
120,2,36,2202
121,2,37,4340
122,2,38,3073
123,2,39,1870
124,2,40,1841
125,2,41,2565
126,3,0,1897
127,3,1,2474
128,3,2,4678
129,3,3,0
130,3,4,1824
131,3,5,6351
132,3,6,1590
133,3,7,3531
134,3,8,4024
135,3,9,3596
136,3,10,3046
137,3,11,2517
138,3,12,4525
139,3,13,4073
140,3,14,1760
141,3,15,2911
142,3,16,5634
143,3,17,2865
144,3,18,3379
145,3,19,3945
146,3,20,3062
147,3,21,3774
148,3,22,5594
149,3,23,3715
150,3,24,3679
151,3,25,2713
152,3,26,3816
153,3,27,4488
154,3,28,3243
155,3,29,2768
156,3,30,3684
157,3,31,2035
158,3,32,4094
159,3,33,2578
160,3,34,2712
161,3,35,2405
162,3,36,2987
163,3,37,1998
164,3,38,4721
165,3,39,3580
166,3,40,3232
167,3,41,2662
168,4,0,1547
169,4,1,1221
170,4,2,3425
171,4,3,1818
172,4,4,0
173,4,5,5604
174,4,6,398
175,4,7,2278
176,4,8,2771
177,4,9,2343
178,4,10,1793
179,4,11,1264
180,4,12,3615
181,4,13,3532
182,4,14,942
183,4,15,1658
184,4,16,5094
185,4,17,1612
186,4,18,2126
187,4,19,2692
188,4,20,1809
189,4,21,2521
190,4,22,4647
191,4,23,2462
192,4,24,2426
193,4,25,2173
194,4,26,3276
195,4,27,3235
196,4,28,1990
197,4,29,1515
198,4,30,2431
199,4,31,782
200,4,32,3553
201,4,33,1325
202,4,34,1459
203,4,35,1152
204,4,36,1734
205,4,37,1768
206,4,38,3468
207,4,39,2327
208,4,40,1979
209,4,41,1409
210,5,0,5617
211,5,1,4516
212,5,2,3065
213,5,3,6371
214,5,4,5582
215,5,5,0
216,5,6,5413
217,5,7,5871
218,5,8,6364
219,5,9,5935
220,5,10,3996
221,5,11,4650
222,5,12,2403
223,5,13,2428
224,5,14,5635
225,5,15,4114
226,5,16,719
227,5,17,4288
228,5,18,5718
229,5,19,6284
230,5,20,5066
231,5,21,4442
232,5,22,1840
233,5,23,5620
234,5,24,4562
235,5,25,4000
236,5,26,3014
237,5,27,6393
238,5,28,4079
239,5,29,5107
240,5,30,6023
241,5,31,4913
242,5,32,2722
243,5,33,4608
244,5,34,4217
245,5,35,4563
246,5,36,4349
247,5,37,5970
248,5,38,5308
249,5,39,4105
250,5,40,3997
251,5,41,4712
252,6,0,1326
253,6,1,1056
254,6,2,3259
255,6,3,1597
256,6,4,406
257,6,5,5438
258,6,6,0
259,6,7,2113
260,6,8,2606
261,6,9,2177
262,6,10,1628
263,6,11,1098
264,6,12,3449
265,6,13,3312
266,6,14,721
267,6,15,1492
268,6,16,4873
269,6,17,1446
270,6,18,1961
271,6,19,2526
272,6,20,1644
273,6,21,2356
274,6,22,4481
275,6,23,2297
276,6,24,2260
277,6,25,1952
278,6,26,3055
279,6,27,3070
280,6,28,1825
281,6,29,1350
282,6,30,2266
283,6,31,616
284,6,32,3333
285,6,33,1159
286,6,34,1294
287,6,35,986
288,6,36,1569
289,6,37,1547
290,6,38,3303
291,6,39,2161
292,6,40,1813
293,6,41,1243
294,7,0,3260
295,7,1,1654
296,7,2,3717
297,7,3,3531
298,7,4,2281
299,7,5,5896
300,7,6,2112
301,7,7,0
302,7,8,952
303,7,9,966
304,7,10,2085
305,7,11,1506
306,7,12,3907
307,7,13,3894
308,7,14,2655
309,7,15,1950
310,7,16,5456
311,7,17,1904
312,7,18,176
313,7,19,914
314,7,20,1671
315,7,21,2813
316,7,22,4939
317,7,23,2090
318,7,24,2718
319,7,25,2986
320,7,26,3637
321,7,27,2863
322,7,28,2283
323,7,29,1026
324,7,30,874
325,7,31,1903
326,7,32,3915
327,7,33,1422
328,7,34,1751
329,7,35,1701
330,7,36,2204
331,7,37,3481
332,7,38,3761
333,7,39,2619
334,7,40,2271
335,7,41,1360
336,8,0,3746
337,8,1,2140
338,8,2,4203
339,8,3,4017
340,8,4,2767
341,8,5,6382
342,8,6,2598
343,8,7,943
344,8,8,0
345,8,9,1165
346,8,10,2571
347,8,11,1992
348,8,12,4393
349,8,13,4380
350,8,14,3141
351,8,15,2436
352,8,16,5942
353,8,17,2390
354,8,18,1034
355,8,19,430
356,8,20,2157
357,8,21,3299
358,8,22,5425
359,8,23,2576
360,8,24,3204
361,8,25,3472
362,8,26,4123
363,8,27,3349
364,8,28,2769
365,8,29,1512
366,8,30,951
367,8,31,2389
368,8,32,4401
369,8,33,1908
370,8,34,2237
371,8,35,2187
372,8,36,2690
373,8,37,3967
374,8,38,4247
375,8,39,3105
376,8,40,2757
377,8,41,1846
378,9,0,3319
379,9,1,1712
380,9,2,3776
381,9,3,3589
382,9,4,2339
383,9,5,5955
384,9,6,2170
385,9,7,958
386,9,8,1158
387,9,9,0
388,9,10,2144
389,9,11,1564
390,9,12,3965
391,9,13,3952
