,name,zip,都道府県,市区町村,大字,location
0,合同会社藤本建設,4092932,山梨県,南巨摩郡身延町,杉山,"[138.53009014,35.43778193]"
1,有限会社西之園運輸,4000844,山梨県,甲府市,中町,"[138.57350167,35.61759578]"
2,株式会社村山印刷,4010021,山梨県,大月市,初狩町下初狩,"[138.87810829,35.60334926]"
3,青田印刷合同会社,4092713,山梨県,南巨摩郡早川町,保,"[138.30775664,35.43756762]"
4,合同会社山田水産,4000605,山梨県,南巨摩郡富士川町,柳川,"[138.42981074,35.50198973]"
5,有限会社吉田食品,4020201,山梨県,南都留郡道志村,月夜野,"[139.10969381,35.53752161]"
6,有限会社青山鉱業,4000603,山梨県,南巨摩郡富士川町,鹿島,"[138.46361505,35.51259398]"
7,有限会社喜嶋建設,4080104,山梨県,北杜市,須玉町小倉,"[138.44125324,35.81481859]"
8,有限会社工藤水産,4070301,山梨県,北杜市,高根町清里,"[138.43423802,35.92276614]"
9,津田情報株式会社,4080025,山梨県,北杜市,長坂町長坂下条,"[138.37850671,35.80389279]"
10,山岸農林株式会社,4050079,山梨県,笛吹市,一宮町金田,"[138.68216372,35.65270473]"
11,浜田保険有限会社,4093865,山梨県,中巨摩郡昭和町,西条新田,"[138.53190153,35.63900886]"
12,野村建設有限会社,4010004,山梨県,大月市,賑岡町強瀬,"[138.95912071,35.61773921]"
13,山岸電気有限会社,4020024,山梨県,都留市,小野,"[138.90947661,35.52836783]"
14,株式会社三宅印刷,4093234,山梨県,西八代郡市川三郷町,岩下,"[138.48660059,35.49273836]"
15,有限会社原田情報,4060027,山梨県,笛吹市,石和町下平井,"[138.64940347,35.64856611]"
16,有限会社高橋運輸,4020204,山梨県,南都留郡道志村,大室指,"[139.07398622,35.53407809]"
17,佐々木電気株式会社,4000811,山梨県,甲府市,川田町,"[138.62713482,35.65275024]"
18,合同会社渡辺ガス,4080105,山梨県,北杜市,須玉町東向,"[138.44413136,35.80821349]"
19,株式会社高橋保険,4080003,山梨県,北杜市,高根町東井出,"[138.41624226,35.88296655]"
20,田辺銀行株式会社,4000083,山梨県,甲府市,平瀬町,"[138.54008205,35.71317712]"
21,吉本ガス有限会社,4040046,山梨県,甲州市,塩山上井尻,"[138.71357348,35.71190724]"
22,有限会社吉本水産,4090138,山梨県,上野原市,大倉,"[139.07707052,35.64990778]"
23,宮沢銀行合同会社,4001213,山梨県,甲府市,川窪町,"[138.57853867,35.75991363]"
24,田中ガス有限会社,4050044,山梨県,山梨市,市川,"[138.6781096,35.72000396]"
25,合同会社中島鉱業,4010334,山梨県,南都留郡富士河口湖町,西湖南,"[138.67606828,35.49083627]"
26,杉山食品有限会社,4030021,山梨県,南都留郡西桂町,下暮地,"[138.83212438,35.53555302]"
27,渚ガス有限会社,4001211,山梨県,甲府市,黒平町,"[138.58166099,35.79998958]"
28,株式会社加藤ガス,4050023,山梨県,山梨市,下栗原,"[138.69306226,35.66769881]"
29,三宅運輸合同会社,4070013,山梨県,韮崎市,中島,"[138.46176131,35.70212869]"
30,合同会社野村農林,4080021,山梨県,北杜市,長坂町長坂上条,"[138.3748163,35.82315011]"
31,株式会社藤本建設,4093600,山梨県,西八代郡市川三郷町,以下に掲載がない場合,"[138.50236887,35.56530254]"
32,有限会社近藤水産,4020042,山梨県,都留市,厚原,"[138.8976737,35.55605049]"
33,有限会社大垣建設,4000047,山梨県,甲府市,徳行,"[138.54188304,35.650668599999996]"
34,鈴木食品有限会社,4000813,山梨県,甲府市,向町,"[138.61681559,35.64686695]"
35,有限会社佐藤鉱業,4000057,山梨県,甲府市,高室町,"[138.55684196,35.61086797]"
36,合同会社田中鉱業,4060816,山梨県,笛吹市,御坂町竹居,"[138.66629988,35.60303668]"
37,宮沢水産株式会社,4092941,山梨県,南巨摩郡身延町,湯之奥,"[138.51237076,35.40100165]"
38,合同会社大垣通信,4040204,山梨県,山梨市,三富下釜口,"[138.73607998,35.79541958]"
39,田辺鉱業合同会社,4040037,山梨県,甲州市,塩山西広門田,"[138.72000566,35.69039824]"
40,田中鉱業有限会社,4050022,山梨県,山梨市,上栗原,"[138.70277151,35.66712215]"
41,有限会社小林情報,4000112,山梨県,甲斐市,名取,"[138.52574751,35.66559994]"
