,name,service,pickup,delivery,time_windows,location,location_index,skills,priority
0,合同会社藤本建設 第 18 支店,897,[72],[137],"[[10061, 28061]]","[137.93741356,35.72581477]",0,[0],94
1,有限会社西之園運輸 第 73 支店,1066,[63],[335],"[[9987, 27987]]","[137.86121106,36.76591445]",1,"[0,1]",60
2,株式会社村山印刷 第 98 支店,615,[91],[172],"[[16376, 34376]]","[138.33353823,36.27928219]",2,[0],24
3,青田印刷合同会社 第 9 支店,664,[59],[867],"[[461, 18461]]","[138.06103658,36.06210255]",3,"[0,1]",82
4,合同会社山田水産 第 33 支店,796,[57],[815],"[[17862, 35862]]","[138.3330027,36.35248742]",4,"[0,1]",97
5,有限会社吉田食品 第 16 支店,625,[72],[745],"[[4059, 22059]]","[138.35872868,36.72543341]",5,"[0,1]",2
6,有限会社青山鉱業 第 64 支店,967,[51],[947],"[[715, 18715]]","[138.28275771,36.6779365]",6,"[0,1]",92
7,有限会社喜嶋建設 第 98 支店,1071,[50],[244],"[[6221, 24221]]","[138.0449491,36.06112527]",7,"[0,1]",98
8,有限会社工藤水産 第 58 支店,882,[67],[229],"[[2760, 20760]]","[138.72205215,35.95158365]",8,"[0,1]",10
9,津田情報株式会社 第 61 支店,622,[58],[683],"[[7500, 25500]]","[138.34549907,36.79107146]",9,"[0,1]",54
10,山岸農林株式会社 第 84 支店,726,[74],[849],"[[1067, 19067]]","[138.46742705,35.94680639]",10,"[0,1]",96
11,浜田保険有限会社 第 49 支店,879,[63],[608],"[[12820, 30820]]","[138.05460254,36.3090456]",11,[0],82
12,野村建設有限会社 第 27 支店,981,[97],[490],"[[9764, 27764]]","[138.04404228,36.07855629]",12,"[0,1]",86
13,山岸電気有限会社 第 13 支店,956,[92],[381],"[[13159, 31159]]","[138.1274914,36.59219751]",13,"[0,1]",70
14,株式会社三宅印刷 第 63 支店,755,[58],[278],"[[9991, 27991]]","[138.19761918,36.65208592]",14,"[0,1]",66
15,有限会社原田情報 第 4 支店,913,[80],[376],"[[3885, 21885]]","[138.16555059,36.61737315]",15,"[0,1]",71
16,有限会社高橋運輸 第 50 支店,1195,[57],[354],"[[13252, 31252]]","[137.9431464,35.49937211]",16,[0],48
17,佐々木電気株式会社 第 56 支店,766,[53],[457],"[[6713, 24713]]","[137.88125175,36.26289452]",17,"[0,1]",54
18,合同会社渡辺ガス 第 78 支店,888,[56],[568],"[[12016, 30016]]","[138.37564903,36.69575692]",18,"[0,1]",15
19,株式会社高橋保険 第 98 支店,1018,[71],[352],"[[7676, 25676]]","[138.08288582,36.0739804]",19,[0],5
20,田辺銀行株式会社 第 99 支店,879,[99],[590],"[[14546, 32546]]","[137.91585711,35.88170926]",20,"[0,1]",17
21,吉本ガス有限会社 第 1 支店,687,[53],[768],"[[16480, 34480]]","[138.47993489,36.21587913]",21,"[0,1]",42
22,有限会社吉本水産 第 90 支店,843,[54],[498],"[[269, 18269]]","[138.15549997,36.80200764]",22,[0],20
23,宮沢銀行合同会社 第 58 支店,948,[74],[662],"[[11274, 29274]]","[138.19872038,36.56210644]",23,"[0,1]",48
24,田中ガス有限会社 第 35 支店,1186,[99],[680],"[[16252, 34252]]","[138.31378745,36.72882751]",24,"[0,1]",22
25,合同会社中島鉱業 第 93 支店,790,[93],[315],"[[17273, 35273]]","[138.07781651,35.75759969]",25,"[0,1]",13
26,杉山食品有限会社 第 30 支店,902,[62],[853],"[[16536, 34536]]","[138.14918363,36.57115538]",26,"[0,1]",97
27,渚ガス有限会社 第 76 支店,751,[76],[603],"[[15836, 33836]]","[137.98475442,36.2224609]",27,"[0,1]",53
28,株式会社加藤ガス 第 14 支店,921,[66],[578],"[[10656, 28656]]","[138.56973179,36.21867944]",28,"[0,1]",84
29,三宅運輸合同会社 第 41 支店,969,[95],[964],"[[15553, 33553]]","[138.34435701,36.68812388]",29,"[0,1]",10
