,from_node,from_name,to_node,to_name,time,distance
0,0,合同会社前田建設 第 18 支店,0,合同会社前田建設 第 18 支店,0,0
1,0,合同会社前田建設 第 18 支店,1,有限会社阿部運輸 第 73 支店,2463,27425
2,0,合同会社前田建設 第 18 支店,2,株式会社村上印刷 第 98 支店,1975,34842
3,0,合同会社前田建設 第 18 支店,3,佐藤印刷合同会社 第 9 支店,1501,22322
4,0,合同会社前田建設 第 18 支店,4,合同会社青木水産 第 33 支店,1381,22666
5,0,合同会社前田建設 第 18 支店,5,有限会社福田食品 第 16 支店,2179,33365
6,0,合同会社前田建設 第 18 支店,6,有限会社佐藤鉱業 第 64 支店,1404,25242
7,0,合同会社前田建設 第 18 支店,7,有限会社伊藤建設 第 98 支店,1959,27787
8,0,合同会社前田建設 第 18 支店,8,有限会社山本水産 第 58 支店,1385,18279
9,0,合同会社前田建設 第 18 支店,9,井上情報株式会社 第 61 支店,950,13292
10,0,合同会社前田建設 第 18 支店,10,石井農林株式会社 第 84 支店,1087,13980
11,0,合同会社前田建設 第 18 支店,11,山下保険有限会社 第 49 支店,2292,42112
12,0,合同会社前田建設 第 18 支店,12,森建設有限会社 第 27 支店,1958,33282
13,0,合同会社前田建設 第 18 支店,13,近藤電気有限会社 第 13 支店,1114,21051
14,0,合同会社前田建設 第 18 支店,14,株式会社小川印刷 第 63 支店,2229,35497
15,0,合同会社前田建設 第 18 支店,15,有限会社橋本情報 第 4 支店,419,4304
16,0,合同会社前田建設 第 18 支店,16,有限会社山口運輸 第 50 支店,2206,31867
17,1,有限会社阿部運輸 第 73 支店,0,合同会社前田建設 第 18 支店,2418,27429
18,1,有限会社阿部運輸 第 73 支店,1,有限会社阿部運輸 第 73 支店,0,0
19,1,有限会社阿部運輸 第 73 支店,2,株式会社村上印刷 第 98 支店,2212,26907
20,1,有限会社阿部運輸 第 73 支店,3,佐藤印刷合同会社 第 9 支店,3144,46378
21,1,有限会社阿部運輸 第 73 支店,4,合同会社青木水産 第 33 支店,2032,23421
22,1,有限会社阿部運輸 第 73 支店,5,有限会社福田食品 第 16 支店,2492,36919
23,1,有限会社阿部運輸 第 73 支店,6,有限会社佐藤鉱業 第 64 支店,1998,23607
24,1,有限会社阿部運輸 第 73 支店,7,有限会社伊藤建設 第 98 支店,3343,51275
25,1,有限会社阿部運輸 第 73 支店,8,有限会社山本水産 第 58 支店,3039,40879
26,1,有限会社阿部運輸 第 73 支店,9,井上情報株式会社 第 61 支店,3115,40178
27,1,有限会社阿部運輸 第 73 支店,10,石井農林株式会社 第 84 支店,2264,27511
28,1,有限会社阿部運輸 第 73 支店,11,山下保険有限会社 第 49 支店,2260,29589
29,1,有限会社阿部運輸 第 73 支店,12,森建設有限会社 第 27 支店,2195,25347
30,1,有限会社阿部運輸 第 73 支店,13,近藤電気有限会社 第 13 支店,2759,39301
31,1,有限会社阿部運輸 第 73 支店,14,株式会社小川印刷 第 63 支店,2595,33803
32,1,有限会社阿部運輸 第 73 支店,15,有限会社橋本情報 第 4 支店,2214,25891
33,1,有限会社阿部運輸 第 73 支店,16,有限会社山口運輸 第 50 支店,3530,53802
34,2,株式会社村上印刷 第 98 支店,0,合同会社前田建設 第 18 支店,1959,34820
35,2,株式会社村上印刷 第 98 支店,1,有限会社阿部運輸 第 73 支店,2203,26907
36,2,株式会社村上印刷 第 98 支店,2,株式会社村上印刷 第 98 支店,0,0
37,2,株式会社村上印刷 第 98 支店,3,佐藤印刷合同会社 第 9 支店,2829,56726
38,2,株式会社村上印刷 第 98 支店,4,合同会社青木水産 第 33 支店,1875,39201
39,2,株式会社村上印刷 第 98 支店,5,有限会社福田食品 第 16 支店,2643,54679
40,2,株式会社村上印刷 第 98 支店,6,有限会社佐藤鉱業 第 64 支店,731,12512
41,2,株式会社村上印刷 第 98 支店,7,有限会社伊藤建設 第 98 支店,3028,61623
42,2,株式会社村上印刷 第 98 支店,8,有限会社山本水産 第 58 支店,2724,51227
43,2,株式会社村上印刷 第 98 支店,9,井上情報株式会社 第 61 支店,2524,38700
44,2,株式会社村上印刷 第 98 支店,10,石井農林株式会社 第 84 支店,1959,37859
45,2,株式会社村上印刷 第 98 支店,11,山下保険有限会社 第 49 支店,2410,43049
46,2,株式会社村上印刷 第 98 支店,12,森建設有限会社 第 27 支店,243,2743
47,2,株式会社村上印刷 第 98 支店,13,近藤電気有限会社 第 13 支店,1537,26416
48,2,株式会社村上印刷 第 98 支店,14,株式会社小川印刷 第 63 支店,2723,52032
49,2,株式会社村上印刷 第 98 支店,15,有限会社橋本情報 第 4 支店,1755,33283
50,2,株式会社村上印刷 第 98 支店,16,有限会社山口運輸 第 50 支店,3373,69583
51,3,佐藤印刷合同会社 第 9 支店,0,合同会社前田建設 第 18 支店,1371,22351
52,3,佐藤印刷合同会社 第 9 支店,1,有限会社阿部運輸 第 73 支店,3216,47373
53,3,佐藤印刷合同会社 第 9 支店,2,株式会社村上印刷 第 98 支店,2855,50952
54,3,佐藤印刷合同会社 第 9 支店,3,佐藤印刷合同会社 第 9 支店,0,0
55,3,佐藤印刷合同会社 第 9 支店,4,合同会社青木水産 第 33 支店,1896,30755
56,3,佐藤印刷合同会社 第 9 支店,5,有限会社福田食品 第 16 支店,2188,36892
57,3,佐藤印刷合同会社 第 9 支店,6,有限会社佐藤鉱業 第 64 支店,2513,44511
58,3,佐藤印刷合同会社 第 9 支店,7,有限会社伊藤建設 第 98 支店,807,9887
59,3,佐藤印刷合同会社 第 9 支店,8,有限会社山本水産 第 58 支店,341,5072
60,3,佐藤印刷合同会社 第 9 支店,9,井上情報株式会社 第 61 支店,1103,15994
61,3,佐藤印刷合同会社 第 9 支店,10,石井農林株式会社 第 84 支店,1233,18120
62,3,佐藤印刷合同会社 第 9 支店,11,山下保険有限会社 第 49 支店,2824,51864
63,3,佐藤印刷合同会社 第 9 支店,12,森建設有限会社 第 27 支店,2838,49393
64,3,佐藤印刷合同会社 第 9 支店,13,近藤電気有限会社 第 13 支店,2302,42549
65,3,佐藤印刷合同会社 第 9 支店,14,株式会社小川印刷 第 63 支店,2760,45249
66,3,佐藤印刷合同会社 第 9 支店,15,有限会社橋本情報 第 4 支店,1113,17853
67,3,佐藤印刷合同会社 第 9 支店,16,有限会社山口運輸 第 50 支店,1082,15560
68,4,合同会社青木水産 第 33 支店,0,合同会社前田建設 第 18 支店,1386,22666
69,4,合同会社青木水産 第 33 支店,1,有限会社阿部運輸 第 73 支店,2043,23371
70,4,合同会社青木水産 第 33 支店,2,株式会社村上印刷 第 98 支店,1885,39188
71,4,合同会社青木水産 第 33 支店,3,佐藤印刷合同会社 第 9 支店,1911,37190
72,4,合同会社青木水産 第 33 支店,4,合同会社青木水産 第 33 支店,0,0
73,4,合同会社青木水産 第 33 支店,5,有限会社福田食品 第 16 支店,798,10698
74,4,合同会社青木水産 第 33 支店,6,有限会社佐藤鉱業 第 64 支店,1543,32747
75,4,合同会社青木水産 第 33 支店,7,有限会社伊藤建設 第 98 支店,2095,29146
76,4,合同会社青木水産 第 33 支店,8,有限会社山本水産 第 58 支店,1802,27574
77,4,合同会社青木水産 第 33 支店,9,井上情報株式会社 第 61 支店,2026,34643
78,4,合同会社青木水産 第 33 支店,10,石井農林株式会社 第 84 支店,842,13868
79,4,合同会社青木水産 第 33 支店,11,山下保険有限会社 第 49 支店,1099,22048
80,4,合同会社青木水産 第 33 支店,12,森建設有限会社 第 27 支店,1868,37629
81,4,合同会社青木水産 第 33 支店,13,近藤電気有限会社 第 13 支店,1847,38937
82,4,合同会社青木水産 第 33 支店,14,株式会社小川印刷 第 63 支店,1036,15432
83,4,合同会社青木水産 第 33 支店,15,有限会社橋本情報 第 4 支店,1115,20459
84,4,合同会社青木水産 第 33 支店,16,有限会社山口運輸 第 50 支店,1683,31741
85,5,有限会社福田食品 第 16 支店,0,合同会社前田建設 第 18 支店,2159,37047
86,5,有限会社福田食品 第 16 支店,1,有限会社阿部運輸 第 73 支店,2498,36631
87,5,有限会社福田食品 第 16 支店,2,株式会社村上印刷 第 98 支店,2682,49812
