,name,service,pickup,delivery,time_windows,location,location_index,skills,priority
0,合同会社藤本建設,1103,[70],[137],"[[542, 32942]]","[137.93741356,35.72581477]",0,[0],41
1,有限会社西之園運輸,1078,[87],[335],"[[1095, 33495]]","[137.86121106,36.76591445]",1,[0],82
2,株式会社村山印刷,686,[68],[172],"[[1411, 33811]]","[138.33353823,36.27928219]",2,[0],15
3,青田印刷合同会社,741,[70],[867],"[[1478, 33878]]","[138.06103658,36.06210255]",3,[0],64
4,合同会社山田水産,993,[61],[815],"[[1337, 33737]]","[138.3330027,36.35248742]",4,[0],68
5,有限会社吉田食品,607,[92],[745],"[[515, 32915]]","[138.35872868,36.72543341]",5,[0],25
6,有限会社青山鉱業,919,[78],[947],"[[3012, 35412]]","[138.28275771,36.6779365]",6,[0],98
7,有限会社喜嶋建設,1134,[79],[244],"[[2840, 35240]]","[138.0449491,36.06112527]",7,[0],87
8,有限会社工藤水産,913,[64],[229],"[[497, 32897]]","[138.72205215,35.95158365]",8,[0],7
9,津田情報株式会社,1113,[100],[683],"[[3115, 35515]]","[138.34549907,36.79107146]",9,[0],26
10,山岸農林株式会社,916,[54],[849],"[[1612, 34012]]","[138.46742705,35.94680639]",10,[0],25
11,浜田保険有限会社,809,[73],[608],"[[3098, 35498]]","[138.05460254,36.3090456]",11,[0],22
12,野村建設有限会社,864,[73],[490],"[[1844, 34244]]","[138.04404228,36.07855629]",12,[0],9
13,山岸電気有限会社,1031,[91],[381],"[[1360, 33760]]","[138.1274914,36.59219751]",13,[0],67
14,株式会社三宅印刷,1056,[99],[278],"[[2669, 35069]]","[138.19761918,36.65208592]",14,[0],23
