,name,zip,都道府県,市区町村,大字,location
0,合同会社藤本建設,3710011,群馬県,前橋市,下沖町,"[139.09337859,36.39980374]"
1,有限会社西之園運輸,3710053,群馬県,前橋市,幸塚町,"[139.08514937,36.40485589]"
2,株式会社村山印刷,3702215,群馬県,甘楽郡甘楽町,造石,"[138.94727271,36.26029399]"
3,青田印刷合同会社,3703514,群馬県,高崎市,東国分町,"[139.02441155,36.39847732]"
4,合同会社山田水産,3750054,群馬県,藤岡市,上大塚,"[139.05307389,36.24164137]"
5,有限会社吉田食品,3740038,群馬県,館林市,西美園町,"[139.52925970,36.23242288]"
6,有限会社青山鉱業,3770027,群馬県,渋川市,金井,"[138.97648824,36.51154021]"
7,有限会社喜嶋建設,3790101,群馬県,安中市,西上秋間,"[138.80909735,36.36814698]"
8,有限会社工藤水産,3791307,群馬県,利根郡みなかみ町,政所,"[139.01235432,36.66798864]"
9,津田情報株式会社,3700839,群馬県,高崎市,檜物町,"[139.00624038,36.32284973]"
10,山岸農林株式会社,3700351,群馬県,太田市,新田大町,"[139.28101286,36.322793299999994]"
11,浜田保険有限会社,3710057,群馬県,前橋市,龍蔵寺町,"[139.07179880,36.42339777]"
12,野村建設有限会社,3770416,群馬県,吾妻郡中之条町,蟻川,"[138.85486672,36.627978399999996]"
13,山岸電気有限会社,3710843,群馬県,前橋市,新前橋町,"[139.05056859,36.38034437]"
14,株式会社三宅印刷,3700321,群馬県,太田市,新田木崎町,"[139.30626213,36.28131618]"
15,有限会社原田情報,3792311,群馬県,みどり市,笠懸町阿左美,"[139.29963256,36.39087932]"
