,from_node,to_node,time
0,0,0,0
1,0,1,2463
2,0,2,1975
3,0,3,1501
4,0,4,1381
5,0,5,2179
6,0,6,1389
7,0,7,1959
8,0,8,1385
9,0,9,950
10,0,10,1087
11,0,11,2292
12,0,12,1958
13,0,13,1114
14,0,14,2229
15,0,15,419
16,0,16,2206
17,0,17,2095
18,0,18,2566
19,0,19,1509
20,0,20,1112
21,0,21,1851
22,0,22,2269
23,0,23,2082
24,0,24,860
25,0,25,1611
26,0,26,1244
27,0,27,1450
28,0,28,1883
29,0,29,1827
30,0,30,1771
31,0,31,2650
32,0,32,2163
33,0,33,855
34,0,34,1747
35,0,35,2338
36,0,36,1906
37,0,37,2010
38,0,38,1663
39,0,39,921
40,0,40,514
41,0,41,3153
42,0,42,1552
43,0,43,755
44,0,44,3225
45,0,45,1243
46,0,46,525
47,0,47,1983
48,0,48,1349
49,0,49,2290
50,0,50,1871
51,1,0,2418
52,1,1,0
53,1,2,2210
54,1,3,3136
55,1,4,2024
56,1,5,2490
57,1,6,1997
58,1,7,3335
59,1,8,3031
60,1,9,3113
61,1,10,2256
62,1,11,2256
63,1,12,2193
64,1,13,2759
65,1,14,2593
66,1,15,2214
67,1,16,3522
68,1,17,2056
69,1,18,2099
70,1,19,3155
71,1,20,2013
72,1,21,3447
73,1,22,3038
74,1,23,3314
75,1,24,2774
76,1,25,923
77,1,26,1805
78,1,27,3352
79,1,28,2737
80,1,29,2641
81,1,30,1635
82,1,31,3698
83,1,32,3211
84,1,33,2856
85,1,34,3078
86,1,35,2634
87,1,36,2148
88,1,37,2101
89,1,38,2711
90,1,39,2480
91,1,40,2225
92,1,41,2517
93,1,42,2579
94,1,43,1895
95,1,44,4165
96,1,45,1425
97,1,46,1921
98,1,47,2724
99,1,48,2344
100,1,49,2708
101,1,50,2429
102,2,0,1959
103,2,1,2201
104,2,2,0
105,2,3,2829
106,2,4,1875
107,2,5,2643
108,2,6,727
109,2,7,3029
110,2,8,2724
111,2,9,2504
112,2,10,1959
113,2,11,2400
114,2,12,243
115,2,13,1537
116,2,14,2723
117,2,15,1755
118,2,16,3373
119,2,17,2201
120,2,18,2244
121,2,19,2159
122,2,20,1716
123,2,21,3140
124,2,22,2889
125,2,23,3007
126,2,24,1994
127,2,25,1378
128,2,26,1739
129,2,27,2893
130,2,28,1130
131,2,29,2492
132,2,30,1856
133,2,31,3549
134,2,32,3062
135,2,33,2081
136,2,34,2771
137,2,35,2778
138,2,36,2301
139,2,37,2246
140,2,38,2562
141,2,39,2173
142,2,40,1766
143,2,41,2405
144,2,42,2431
145,2,43,1384
146,2,44,4016
147,2,45,1685
148,2,46,1462
149,2,47,2575
150,2,48,1098
151,2,49,2785
152,2,50,2366
153,3,0,1371
154,3,1,3210
155,3,2,2855
156,3,3,0
157,3,4,1896
158,3,5,2188
159,3,6,2512
160,3,7,807
161,3,8,341
162,3,9,1103
163,3,10,1233
164,3,11,2823
165,3,12,2838
166,3,13,2302
167,3,14,2760
168,3,15,1113
169,3,16,1082
170,3,17,2627
171,3,18,2995
172,3,19,2286
173,3,20,1743
174,3,21,439
175,3,22,1808
176,3,23,1019
177,3,24,2048
178,3,25,2282
179,3,26,1795
180,3,27,1012
181,3,28,3071
182,3,29,1637
183,3,30,2110
184,3,31,1805
185,3,32,1358
186,3,33,1578
187,3,34,744
188,3,35,2869
189,3,36,2438
190,3,37,2541
191,3,38,1265
192,3,39,718
193,3,40,1206
194,3,41,3677
195,3,42,1362
196,3,43,1831
197,3,44,2461
198,3,45,1849
199,3,46,1417
200,3,47,1860
201,3,48,2537
202,3,49,2197
203,3,50,2403
204,4,0,1386
205,4,1,2035
206,4,2,1885
207,4,3,1911
208,4,4,0
209,4,5,798
210,4,6,1542
211,4,7,2095
212,4,8,1802
213,4,9,2026
214,4,10,842
215,4,11,1099
216,4,12,1867
217,4,13,1847
218,4,14,1036
219,4,15,1115
220,4,16,1683
221,4,17,903
222,4,18,1373
223,4,19,2242
224,4,20,849
225,4,21,2222
226,4,22,1199
227,4,23,2064
228,4,24,1862
229,4,25,1106
230,4,26,249
231,4,27,2253
232,4,28,2302
233,4,29,802
234,4,30,848
235,4,31,1859
236,4,32,1372
237,4,33,1944
238,4,34,1259
239,4,35,1145
240,4,36,713
241,4,37,817
242,4,38,872
243,4,39,1250
244,4,40,1126
245,4,41,2103
246,4,42,740
247,4,43,983
248,4,44,2326
249,4,45,708
250,4,46,928
251,4,47,885
252,4,48,1852
253,4,49,909
254,4,50,604
255,5,0,2159
256,5,1,2494
257,5,2,2682
258,5,3,2200
259,5,4,801
260,5,5,0
261,5,6,2246
262,5,7,2302
263,5,8,2169
264,5,9,2585
265,5,10,1269
266,5,11,1175
267,5,12,2665
268,5,13,2644
269,5,14,732
270,5,15,1902
271,5,16,1822
272,5,17,1284
273,5,18,1635
274,5,19,3040
275,5,20,1646
276,5,21,2511
277,5,22,751
278,5,23,2124
279,5,24,2659
280,5,25,1565
281,5,26,1027
282,5,27,2746
283,5,28,2968
284,5,29,853
285,5,30,1410
286,5,31,1689
287,5,32,1511
288,5,33,2741
289,5,34,1505
290,5,35,837
291,5,36,1037
292,5,37,1223
293,5,38,1118
294,5,39,1617
295,5,40,1923
296,5,41,2361
297,5,42,987
298,5,43,1780
299,5,44,1920
300,5,45,1505
301,5,46,1726
302,5,47,385
303,5,48,2542
304,5,49,287
305,5,50,357
306,6,0,1392
307,6,1,1982
308,6,2,722
309,6,3,2479
310,6,4,1526
311,6,5,2248
312,6,6,0
313,6,7,2679
314,6,8,2375
315,6,9,1865
316,6,10,1610
317,6,11,2242
318,6,12,705
319,6,13,992
320,6,14,2351
321,6,15,1406
322,6,16,3024
323,6,17,2042
324,6,18,2085
325,6,19,1520
326,6,20,1367
327,6,21,2791
328,6,22,2540
329,6,23,2658
330,6,24,1355
331,6,25,1160
332,6,26,1389
333,6,27,2429
334,6,28,976
335,6,29,2143
336,6,30,1461
337,6,31,3200
338,6,32,2713
339,6,33,1442
340,6,34,2422
341,6,35,2464
342,6,36,1906
343,6,37,2014
344,6,38,2213
345,6,39,1824
346,6,40,1417
347,6,41,2247
348,6,42,2081
349,6,43,1033
350,6,44,3667
351,6,45,1290
