,name,zip,都道府県,市区町村,大字,location
0,合同会社藤本建設,3994108,長野県,駒ヶ根市,下市場,"[137.93741356,35.72581477]"
1,有限会社西之園運輸,3999422,長野県,北安曇郡小谷村,千国乙,"[137.86121106,36.76591445]"
2,株式会社村山印刷,3842304,長野県,北佐久郡立科町,茂田井（１～５００「２１１番地を除く」「古町」、２５２７～２５２９,"[138.33353823,36.27928219]"
3,青田印刷合同会社,3940032,長野県,岡谷市,若宮,"[138.06103658,36.06210255]"
4,合同会社山田水産,3890516,長野県,東御市,田中,"[138.3330027,36.35248742]"
5,有限会社吉田食品,3830035,長野県,中野市,篠井,"[138.35872868,36.72543341]"
6,有限会社青山鉱業,3820065,長野県,須坂市,相之島,"[138.28275771,36.6779365]"
7,有限会社喜嶋建設,3940028,長野県,岡谷市,本町,"[138.0449491,36.06112527]"
8,有限会社工藤水産,3841402,長野県,南佐久郡川上村,梓山,"[138.72205215,35.95158365]"
9,津田情報株式会社,3830061,長野県,中野市,壁田,"[138.34549907,36.79107146]"
10,山岸農林株式会社,3841305,長野県,南佐久郡南牧村,野辺山,"[138.46742705,35.94680639]"
11,浜田保険有限会社,3997412,長野県,松本市,保福寺町,"[138.05460254,36.3090456]"
12,野村建設有限会社,3940004,長野県,岡谷市,神明町,"[138.04404228,36.07855629]"
13,山岸電気有限会社,3812225,長野県,長野市,篠ノ井岡田,"[138.1274914,36.59219751]"
14,株式会社三宅印刷,3800811,長野県,長野市,東鶴賀町,"[138.19761918,36.65208592]"
15,有限会社原田情報,3812245,長野県,長野市,三本柳東,"[138.16555059,36.61737315]"
