,from_node,to_node,time
0,0,0,0
1,0,1,7066
2,0,2,4986
3,0,3,2341
4,0,4,5481
5,0,5,7861
6,0,6,7515
7,0,7,2208
8,0,8,7202
9,0,9,8112
10,0,10,5257
11,0,11,4548
12,0,12,2386
13,0,13,6619
14,0,14,6637
15,0,15,6512
16,0,16,1976
17,0,17,4126
18,0,18,7818
19,0,19,2471
20,0,20,1178
21,0,21,6284
22,0,22,8272
23,0,23,6630
24,0,24,7609
25,0,25,1218
26,0,26,6510
27,0,27,3499
28,0,28,6820
29,0,29,7673
30,0,30,1567
31,1,0,6912
32,1,1,0
33,1,2,6324
34,1,3,5014
35,1,4,5631
36,1,5,4438
37,1,6,3942
38,1,7,4899
39,1,8,9704
40,1,9,4651
41,1,10,8302
42,1,11,4098
43,1,12,4834
44,1,13,3262
45,1,14,3044
46,1,15,3155
47,1,16,8818
48,1,17,3502
49,1,18,4461
50,1,19,4911
51,1,20,6422
52,1,21,6860
53,1,22,3942
54,1,23,3404
55,1,24,4081
56,1,25,7099
57,1,26,3367
58,1,27,3751
59,1,28,7353
60,1,29,4316
61,1,30,8409
62,2,0,4986
63,2,1,6290
64,2,2,0
65,2,3,3300
66,2,4,776
67,2,5,3902
68,2,6,3783
69,2,7,3275
70,2,8,4341
71,2,9,4567
72,2,10,3027
73,2,11,3137
74,2,12,3293
75,2,13,3393
76,2,14,3651
77,2,15,3480
78,2,16,6892
79,2,17,3684
80,2,18,3830
81,2,19,3175
82,2,20,4808
83,2,21,1507
84,2,22,5286
85,2,23,2973
86,2,24,3910
87,2,25,4355
88,2,26,3184
89,2,27,3366
90,2,28,2042
91,2,29,3714
92,2,30,6483
93,3,0,2346
94,3,1,5203
95,3,2,3293
96,3,3,0
97,3,4,3788
98,3,5,5904
99,3,6,5552
100,3,7,174
101,3,8,5624
102,3,9,6138
103,3,10,3679
104,3,11,2757
105,3,12,311
106,3,13,4741
107,3,14,4833
108,3,15,4708
109,3,16,4253
110,3,17,2203
111,3,18,5861
112,3,19,250
113,3,20,1856
114,3,21,4682
115,3,22,6468
116,3,23,4656
117,3,24,5635
118,3,25,2338
119,3,26,4536
120,3,27,1708
121,3,28,5217
122,3,29,5716
123,3,30,3843
124,4,0,5473
125,4,1,5572
126,4,2,777
127,4,3,3782
128,4,4,0
129,4,5,3282
130,4,6,3162
131,4,7,3757
132,4,8,4496
133,4,9,3887
134,4,10,3181
135,4,11,3019
136,4,12,3776
137,4,13,2675
138,4,14,2932
139,4,15,2762
140,4,16,7379
141,4,17,3566
142,4,18,3210
143,4,19,3658
144,4,20,5295
145,4,21,1652
146,4,22,4568
147,4,23,2353
148,4,24,3290
149,4,25,4841
150,4,26,2465
