,name,service,pickup,delivery,time_windows,location,location_index,skills,priority
0,合同会社藤本建設,751,[57],[137],"[[0, 36000]]","[139.48372896,36.08020962]",0,[0],13
1,有限会社西之園運輸,921,[53],[335],"[[0, 36000]]","[139.3262383,35.96836517]",1,"[0,1]",97
2,株式会社村山印刷,969,[56],[172],"[[0, 36000]]","[139.19460618,36.05815305]",2,"[0,1]",53
3,青田印刷合同会社,853,[71],[867],"[[0, 36000]]","[139.66804321,36.09307749]",3,[0],84
4,合同会社山田水産,1061,[99],[815],"[[0, 36000]]","[139.51107504,35.90863789]",4,[0],10
5,有限会社吉田食品,1164,[53],[745],"[[0, 36000]]","[139.55317534,35.83156779]",5,[0],96
6,有限会社青山鉱業,1069,[54],[947],"[[0, 36000]]","[139.28722611,36.08407503]",6,"[0,1]",55
7,有限会社喜嶋建設,1054,[74],[244],"[[0, 36000]]","[139.71608656,36.04982823]",7,"[0,1]",61
8,有限会社工藤水産,1114,[99],[229],"[[0, 36000]]","[139.62916146,36.09267152]",8,[0],56
9,津田情報株式会社,1188,[93],[683],"[[0, 36000]]","[139.52909476,36.15423679]",9,[0],89
10,山岸農林株式会社,749,[62],[849],"[[0, 36000]]","[139.54590055,35.99456815]",10,"[0,1]",21
11,浜田保険有限会社,863,[76],[608],"[[0, 36000]]","[139.36011647,35.79498379]",11,[0],96
12,野村建設有限会社,677,[66],[490],"[[0, 36000]]","[139.21611963,36.04722731]",12,"[0,1]",83
13,山岸電気有限会社,675,[95],[381],"[[0, 36000]]","[139.30695455,36.19080125]",13,[0],25
14,株式会社三宅印刷,932,[91],[278],"[[0, 36000]]","[139.46293794,35.82373752]",14,[0],14
15,有限会社原田情報,643,[68],[376],"[[0, 36000]]","[139.51471034,36.05771354]",15,"[0,1]",13
16,有限会社高橋運輸,1132,[65],[354],"[[0, 36000]]","[139.74548574,36.01159379]",16,[0],84
17,佐々木電気株式会社,1142,[50],[457],"[[0, 36000]]","[139.37493201,35.84508825]",17,"[0,1]",43
18,合同会社渡辺ガス,1148,[54],[568],"[[0, 36000]]","[139.30791926,35.84539123]",18,"[0,1]",6
19,株式会社高橋保険,1169,[75],[352],"[[0, 36000]]","[139.36491248,36.23491271]",19,[0],77
20,田辺銀行株式会社,1108,[97],[590],"[[0, 36000]]","[139.49149965,36.00356841]",20,[0],56
21,吉本ガス有限会社,810,[84],[768],"[[0, 36000]]","[139.69538302,36.10428181]",21,"[0,1]",59
22,有限会社吉本水産,696,[73],[498],"[[0, 36000]]","[139.66031324,35.85812348]",22,"[0,1]",15
23,宮沢銀行合同会社,869,[57],[662],"[[0, 36000]]","[139.76290835,36.04662036]",23,[0],24
24,田中ガス有限会社,610,[76],[680],"[[0, 36000]]","[139.42091397,36.10984772]",24,[0],9
25,合同会社中島鉱業,879,[75],[315],"[[0, 36000]]","[139.34579246,35.96523895]",25,[0],66
26,杉山食品有限会社,752,[90],[853],"[[0, 36000]]","[139.48298155,35.92869498]",26,[0],71
27,渚ガス有限会社,1076,[72],[603],"[[0, 36000]]","[139.60413698,36.17269137]",27,[0],53
28,株式会社加藤ガス,1016,[59],[578],"[[0, 36000]]","[139.17554663,36.17173005]",28,[0],69
29,三宅運輸合同会社,740,[53],[964],"[[0, 36000]]","[139.61544355,35.91404725]",29,[0],36
30,合同会社野村農林,793,[89],[186],"[[0, 36000]]","[139.40116493,35.92361761]",30,[0],21
31,株式会社藤本建設,1172,[73],[241],"[[0, 36000]]","[139.81671691,35.94442286]",31,[0],40
32,有限会社近藤水産,1089,[86],[493],"[[0, 36000]]","[139.74010289,35.95478087]",32,[0],77
33,有限会社大垣建設,752,[77],[107],"[[0, 36000]]","[139.46903086,36.16078395]",33,[0],91
34,鈴木食品有限会社,938,[87],[419],"[[0, 36000]]","[139.66040767,36.00842332]",34,[0],49
35,有限会社佐藤鉱業,730,[69],[929],"[[0, 36000]]","[139.44369590,35.81698376]",35,[0],47
36,合同会社田中鉱業,1092,[88],[634],"[[0, 36000]]","[139.44001289,35.864731799999994]",36,"[0,1]",77
37,宮沢水産株式会社,866,[58],[413],"[[0, 36000]]","[139.38801311,35.842968799999994]",37,"[0,1]",40
38,合同会社大垣通信,1089,[82],[613],"[[0, 36000]]","[139.65550763,35.95725992]",38,"[0,1]",78
39,田辺鉱業合同会社,1070,[84],[996],"[[0, 36000]]","[139.58361900,36.04134312]",39,[0],45
40,田中鉱業有限会社,798,[60],[416],"[[0, 36000]]","[139.51382536,36.0533539]",40,"[0,1]",87
41,有限会社小林情報,927,[73],[309],"[[0, 36000]]","[139.24234837,35.92690217]",41,"[0,1]",16
42,株式会社若松銀行,776,[65],[364],"[[0, 36000]]","[139.61394620,35.94114949]",42,[0],28
43,合同会社小泉保険,1166,[97],[828],"[[0, 36000]]","[139.41174199,36.05814993]",43,[0],45
44,佐藤建設株式会社,615,[73],[753],"[[0, 36000]]","[139.87205156,35.86275349]",44,"[0,1]",67
45,青山運輸合同会社,1001,[75],[727],"[[0, 36000]]","[139.42306397,35.96798512]",45,"[0,1]",66
46,大垣銀行合同会社,770,[57],[531],"[[0, 36000]]","[139.464402,36.03886365]",46,"[0,1]",78
47,高橋食品有限会社,620,[78],[733],"[[0, 36000]]","[139.61162012,35.86885014]",47,[0],46
48,合同会社笹田鉱業,878,[60],[556],"[[0, 36000]]","[139.28763452,36.12166836]",48,"[0,1]",0
49,有限会社小泉電気,1085,[96],[642],"[[0, 36000]]","[139.57858942,35.82909162]",49,"[0,1]",29
