,from_node,to_node,time
0,0,0,0
1,0,1,7066
2,0,2,4986
3,0,3,2341
4,0,4,5481
5,0,5,7861
6,0,6,7515
7,0,7,2208
8,0,8,7202
9,0,9,8112
10,0,10,5257
11,0,11,4548
12,0,12,2386
13,0,13,6619
14,0,14,6637
15,0,15,6512
16,1,0,6912
17,1,1,0
18,1,2,6324
19,1,3,5014
20,1,4,5631
21,1,5,4438
22,1,6,3941
23,1,7,4899
24,1,8,9704
25,1,9,4650
26,1,10,8302
27,1,11,4098
28,1,12,4834
29,1,13,3262
30,1,14,3043
31,1,15,3155
32,2,0,4986
33,2,1,6290
34,2,2,0
35,2,3,3300
36,2,4,776
37,2,5,3902
38,2,6,3783
39,2,7,3275
40,2,8,4341
41,2,9,4567
42,2,10,3027
43,2,11,3137
44,2,12,3293
45,2,13,3393
46,2,14,3651
47,2,15,3480
48,3,0,2346
49,3,1,5203
50,3,2,3293
51,3,3,0
52,3,4,3788
53,3,5,5904
54,3,6,5552
55,3,7,174
56,3,8,5624
57,3,9,6138
58,3,10,3679
59,3,11,2757
60,3,12,311
61,3,13,4739
62,3,14,4833
63,3,15,4708
64,4,0,5473
65,4,1,5572
66,4,2,777
67,4,3,3782
68,4,4,0
69,4,5,3282
70,4,6,3162
71,4,7,3757
72,4,8,4496
73,4,9,3887
74,4,10,3181
75,4,11,3019
76,4,12,3776
77,4,13,2675
78,4,14,2932
79,4,15,2762
80,5,0,7883
81,5,1,4439
82,5,2,3917
83,5,3,5889
84,5,4,3293
85,5,5,0
86,5,6,903
87,5,7,5773
88,5,8,7583
89,5,9,685
90,5,10,6269
91,5,11,4540
92,5,12,5708
93,5,13,2001
94,5,14,1569
95,5,15,1664
96,6,0,7523
97,6,1,3934
98,6,2,3789
99,6,3,5529
100,6,4,3165
101,6,5,911
102,6,6,0
103,6,7,5413
104,6,8,7408
105,6,9,1268
106,6,10,6093
107,6,11,4180
108,6,12,5349
109,6,13,1642
110,6,14,1002
111,6,15,1304
112,7,0,2209
113,7,1,5084
114,7,2,3265
115,7,3,167
116,7,4,3761
117,7,5,5786
118,7,6,5433
119,7,7,0
120,7,8,5659
121,7,9,6019
122,7,10,3714
123,7,11,2638
124,7,12,193
125,7,13,4621
126,7,14,4714
127,7,15,4590
128,8,0,7199
129,8,1,9665
130,8,2,4338
131,8,3,5659
132,8,4,4493
133,8,5,7548
134,8,6,7395
135,8,7,5658
136,8,8,0
137,8,9,7981
138,8,10,2178
139,8,11,7390
140,8,12,5796
141,8,13,6768
142,8,14,7026
143,8,15,6856
144,9,0,8109
145,9,1,4637
146,9,2,4550
147,9,3,6110
148,9,4,3916
149,9,5,678
150,9,6,1217
151,9,7,5995
152,9,8,7989
153,9,9,0
154,9,10,6675
155,9,11,4761
156,9,12,5930
157,9,13,2290
158,9,14,1811
159,9,15,1952
160,10,0,5252
161,10,1,8351
162,10,2,3024
163,10,3,3712
164,10,4,3179
165,10,5,6233
166,10,6,6080
167,10,7,3711
168,10,8,2171
169,10,9,6667
170,10,10,0
171,10,11,6042
172,10,12,3849
173,10,13,5454
174,10,14,5712
175,10,15,5541
176,11,0,4545
177,11,1,4113
178,11,2,3140
179,11,3,2758
180,11,4,3021
181,11,5,4537
182,11,6,4184
183,11,7,2643
184,11,8,7398
185,11,9,4770
186,11,10,6046
187,11,11,0
188,11,12,2578
189,11,13,3263
190,11,14,3635
191,11,15,3393
192,12,0,2384
193,12,1,5024
194,12,2,3292
195,12,3,311
196,12,4,3787
197,12,5,5726
198,12,6,5373
199,12,7,196
200,12,8,5794
201,12,9,5960
202,12,10,3849
203,12,11,2578
204,12,12,0
205,12,13,4561
206,12,14,4654
207,12,15,4530
208,13,0,6617
209,13,1,3272
210,13,2,3505
211,13,3,4746
212,13,4,2780
213,13,5,1980
214,13,6,1633
215,13,7,4631
216,13,8,6853
217,13,9,2279
218,13,10,5538
219,13,11,3256
220,13,12,4566
221,13,13,0
222,13,14,884
223,13,15,638
224,14,0,6629
225,14,1,3043
226,14,2,3688
227,14,3,4842
228,14,4,2994
229,14,5,1540
230,14,6,1010
231,14,7,4726
232,14,8,7067
233,14,9,1821
234,14,10,5753
235,14,11,3635
236,14,12,4662
237,14,13,884
238,14,14,0
239,14,15,473
240,15,0,6509
241,15,1,3164
242,15,2,3518
243,15,3,4722
244,15,4,2824
245,15,5,1638
246,15,6,1291
247,15,7,4607
248,15,8,6897
249,15,9,1991
250,15,10,5583
251,15,11,3390
252,15,12,4542
253,15,13,638
254,15,14,474
255,15,15,0
