,name,service,pickup,delivery,time_windows,location,location_index,skills,priority
0,合同会社藤本建設,1103,[70],[137],"[[542, 32942]]","[139.73002847,35.53989965]",0,[0],41
1,有限会社西之園運輸,1078,[87],[335],"[[1095, 33495]]","[139.69631623,35.550211299999994]",1,"[0,1]",82
2,株式会社村山印刷,686,[68],[172],"[[1411, 33811]]","[139.32429625,35.44137128]",2,"[0,1]",15
3,青田印刷合同会社,741,[70],[867],"[[1478, 33878]]","[139.32386049,35.35434497]",3,[0],64
4,合同会社山田水産,993,[61],[815],"[[1337, 33737]]","[139.3978099,35.33817349]",4,[0],68
5,有限会社吉田食品,607,[92],[745],"[[515, 32915]]","[139.69349797,35.50098741]",5,[0],25
6,有限会社青山鉱業,919,[78],[947],"[[3012, 35412]]","[139.39991385,35.42287767]",6,"[0,1]",98
7,有限会社喜嶋建設,1134,[79],[244],"[[2840, 35240]]","[139.14524558,35.27923728]",7,"[0,1]",87
8,有限会社工藤水産,913,[64],[229],"[[497, 32897]]","[139.25895432,35.56602922]",8,[0],7
9,津田情報株式会社,1113,[100],[683],"[[3115, 35515]]","[139.50761136,35.57787764]",9,[0],26
10,山岸農林株式会社,916,[54],[849],"[[1612, 34012]]","[139.63311844,35.45578922]",10,"[0,1]",25
11,浜田保険有限会社,809,[73],[608],"[[3098, 35498]]","[139.52836523,35.4074261]",11,[0],22
12,野村建設有限会社,864,[73],[490],"[[1844, 34244]]","[139.19914003,35.27536285]",12,"[0,1]",9
13,山岸電気有限会社,1031,[91],[381],"[[1360, 33760]]","[139.63150753,35.4546263]",13,[0],67
14,株式会社三宅印刷,1056,[99],[278],"[[2669, 35069]]","[139.68286791,35.50147478]",14,[0],23
