,name,service,pickup,delivery,time_windows,location,location_index,skills,priority
0,合同会社藤本建設,981,[67],[137],"[[1927, 52327]]","[138.53009014,35.43778193]",0,[0],6
1,有限会社西之園運輸,956,[58],[335],"[[889, 51289]]","[138.57350167,35.61759578]",1,[0],77
2,株式会社村山印刷,755,[74],[172],"[[152, 50552]]","[138.87810829,35.60334926]",2,[0],56
3,青田印刷合同会社,913,[63],[867],"[[1738, 52138]]","[138.30775664,35.43756762]",3,[0],59
4,合同会社山田水産,1195,[97],[815],"[[2464, 52864]]","[138.42981074,35.50198973]",4,[0],15
5,有限会社吉田食品,766,[92],[745],"[[3212, 53612]]","[139.10969381,35.53752161]",5,[0],24
6,有限会社青山鉱業,888,[58],[947],"[[606, 51006]]","[138.46361505,35.51259398]",6,[0],9
7,有限会社喜嶋建設,1018,[80],[244],"[[489, 50889]]","[138.44125324,35.81481859]",7,[0],66
8,有限会社工藤水産,879,[57],[229],"[[152, 50552]]","[138.43423802,35.92276614]",8,[0],71
9,津田情報株式会社,687,[53],[683],"[[3410, 53810]]","[138.37850671,35.80389279]",9,[0],53
10,山岸農林株式会社,843,[56],[849],"[[4979, 55379]]","[138.68216372,35.65270473]",10,[0],69
11,浜田保険有限会社,948,[71],[608],"[[4961, 55361]]","[138.53190153,35.63900886]",11,[0],36
12,野村建設有限会社,1186,[99],[490],"[[2178, 52578]]","[138.95912071,35.61773921]",12,[0],21
13,山岸電気有限会社,790,[53],[381],"[[1756, 52156]]","[138.90947661,35.52836783]",13,[0],40
14,株式会社三宅印刷,902,[54],[278],"[[4362, 54762]]","[138.48660059,35.49273836]",14,[0],77
15,有限会社原田情報,751,[74],[376],"[[1874, 52274]]","[138.64940347,35.64856611]",15,[0],91
16,有限会社高橋運輸,921,[99],[354],"[[2518, 52918]]","[139.07398622,35.53407809]",16,[0],49
17,佐々木電気株式会社,969,[93],[457],"[[3270, 53670]]","[138.62713482,35.65275024]",17,[0],47
18,合同会社渡辺ガス,853,[62],[568],"[[327, 50727]]","[138.44413136,35.80821349]",18,[0],77
19,株式会社高橋保険,1061,[76],[352],"[[2224, 52624]]","[138.41624226,35.88296655]",19,[0],40
20,田辺銀行株式会社,1164,[66],[590],"[[5521, 55921]]","[138.54008205,35.71317712]",20,[0],78
21,吉本ガス有限会社,1069,[95],[768],"[[2218, 52618]]","[138.71357348,35.71190724]",21,[0],45
22,有限会社吉本水産,1054,[91],[498],"[[20, 50420]]","[139.07707052,35.64990778]",22,[0],87
23,宮沢銀行合同会社,1114,[68],[662],"[[1968, 52368]]","[138.57853867,35.75991363]",23,[0],16
24,田中ガス有限会社,1188,[65],[680],"[[3981, 54381]]","[138.6781096,35.72000396]",24,[0],28
25,合同会社中島鉱業,749,[50],[315],"[[2033, 52433]]","[138.67606828,35.49083627]",25,[0],45
26,杉山食品有限会社,863,[54],[853],"[[2674, 53074]]","[138.83212438,35.53555302]",26,[0],67
27,渚ガス有限会社,677,[75],[603],"[[609, 51009]]","[138.58166099,35.79998958]",27,[0],66
28,株式会社加藤ガス,675,[97],[578],"[[1876, 52276]]","[138.69306226,35.66769881]",28,[0],78
29,三宅運輸合同会社,932,[84],[964],"[[3082, 53482]]","[138.46176131,35.70212869]",29,[0],46
30,合同会社野村農林,643,[73],[186],"[[183, 50583]]","[138.3748163,35.82315011]",30,[0],0
31,株式会社藤本建設,1132,[57],[241],"[[3640, 54040]]","[138.50236887,35.56530254]",31,[0],29
32,有限会社近藤水産,1142,[76],[493],"[[405, 50805]]","[138.8976737,35.55605049]",32,[0],63
33,有限会社大垣建設,1148,[75],[107],"[[3303, 53703]]","[138.54188304,35.650668599999996]",33,[0],75
34,鈴木食品有限会社,1169,[90],[419],"[[505, 50905]]","[138.61681559,35.64686695]",34,[0],35
35,有限会社佐藤鉱業,1108,[72],[929],"[[5145, 55545]]","[138.55684196,35.61086797]",35,[0],53
36,合同会社田中鉱業,810,[59],[634],"[[5006, 55406]]","[138.66629988,35.60303668]",36,[0],93
37,宮沢水産株式会社,696,[53],[413],"[[2189, 52589]]","[138.51237076,35.40100165]",37,[0],33
38,合同会社大垣通信,869,[89],[613],"[[3284, 53684]]","[138.73607998,35.79541958]",38,[0],2
39,田辺鉱業合同会社,610,[73],[996],"[[811, 51211]]","[138.72000566,35.69039824]",39,[0],84
