,name,service,pickup,delivery,time_windows,location,location_index,skills,priority
0,合同会社前田建設 第 18 支店,1020,[96],[137],"[[11673, 29673]]","[145.58482144,43.32789478]",0,[0],11
1,有限会社阿部運輸 第 73 支店,621,[82],[335],"[[11988, 29988]]","[141.48771178,42.88547949]",1,[0],61
2,株式会社村上印刷 第 98 支店,896,[74],[172],"[[3002, 21002]]","[143.22068173,42.9683251]",2,[0],14
3,佐藤印刷合同会社 第 9 支店,677,[73],[867],"[[7125, 25125]]","[140.49260869,43.12992568]",3,[0],30
4,合同会社青木水産 第 33 支店,819,[51],[815],"[[6045, 24045]]","[140.99457790,42.37374247]",4,[0],8
5,有限会社福田食品 第 16 支店,969,[99],[745],"[[1580, 19580]]","[143.19682082,42.93866391]",5,[0],40
6,有限会社佐藤鉱業 第 64 支店,903,[63],[947],"[[11301, 29301]]","[143.70707793,43.30943014]",6,[0],48
7,有限会社伊藤建設 第 98 支店,1061,[53],[244],"[[14811, 32811]]","[141.54847614,43.10910413]",7,[0],30
8,有限会社山本水産 第 58 支店,1024,[50],[229],"[[7500, 25500]]","[140.95005332,42.79549191]",8,[0],23
9,井上情報株式会社 第 61 支店,1062,[63],[683],"[[4472, 22472]]","[141.89745246,43.17788135]",9,[0],66
10,石井農林株式会社 第 84 支店,1157,[56],[849],"[[4823, 22823]]","[143.29618874,43.23254759]",10,[0],92
11,山下保険有限会社 第 49 支店,834,[71],[608],"[[8615, 26615]]","[142.08474263,43.53967423]",11,[0],64
12,森建設有限会社 第 27 支店,1157,[56],[490],"[[3115, 21115]]","[143.62323903,43.78968508]",12,[0],12
13,近藤電気有限会社 第 13 支店,1051,[52],[381],"[[5580, 23580]]","[144.80214481,43.38752723]",13,[0],17
14,株式会社小川印刷 第 63 支店,922,[62],[278],"[[4978, 22978]]","[140.23744625,42.79098287]",14,[0],33
15,有限会社橋本情報 第 4 支店,902,[77],[376],"[[8998, 26998]]","[140.10714258,41.43119519]",15,[0],10
16,有限会社山口運輸 第 50 支店,984,[71],[354],"[[9819, 27819]]","[143.27303662,42.49282492]",16,[0],28
17,加藤電気株式会社 第 56 支店,1013,[61],[457],"[[17008, 35008]]","[141.83910685,42.76285568]",17,[0],75
18,合同会社岡本ガス 第 78 支店,663,[57],[568],"[[11517, 29517]]","[144.11066224,43.81599258]",18,[0],5
19,株式会社山口保険 第 98 支店,1147,[63],[352],"[[10657, 28657]]","[142.49340538,43.66629603]",19,[0],81
20,松本銀行株式会社 第 99 支店,1077,[58],[590],"[[12984, 30984]]","[141.66154436,43.23649818]",20,[0],5
21,三浦ガス有限会社 第 1 支店,1145,[61],[768],"[[7753, 25753]]","[143.19207829,42.93913449]",21,[0],42
22,有限会社三浦水産 第 90 支店,1068,[62],[498],"[[5428, 23428]]","[140.54234400,43.08363496]",22,[0],86
23,長谷川銀行合同会社 第 58 支店,1195,[93],[662],"[[601, 18601]]","[140.72905027,41.78789597]",23,[0],52
24,山口ガス有限会社 第 35 支店,648,[70],[680],"[[4635, 22635]]","[145.17194117,43.18347458]",24,[0],57
25,合同会社木村鉱業 第 93 支店,888,[80],[315],"[[10578, 28578]]","[141.60893876,42.81593883]",25,[0],56
26,佐々木食品有限会社 第 30 支店,853,[86],[853],"[[4064, 22064]]","[142.04982551,43.72235365]",26,[0],78
27,清水ガス有限会社 第 76 支店,655,[89],[603],"[[8020, 26020]]","[143.86567784,42.91672338]",27,[0],87
28,株式会社田中ガス 第 14 支店,887,[57],[578],"[[8734, 26734]]","[142.34176456,44.10695261]",28,[0],81
29,小川運輸合同会社 第 41 支店,628,[95],[964],"[[15207, 33207]]","[144.06871290,43.95268279]",29,[0],10
30,合同会社森農林 第 4 支店,822,[54],[186],"[[1088, 19088]]","[142.39545948,44.16955511]",30,[0],72
31,株式会社前田建設 第 3 支店,930,[98],[241],"[[17558, 35558]]","[144.22908669,43.90779361]",31,[0],48
32,有限会社中村水産 第 4 支店,736,[68],[493],"[[13955, 31955]]","[141.20899011,43.050125200000004]",32,[0],19
33,有限会社高橋建設 第 84 支店,709,[82],[107],"[[13395, 31395]]","[143.19345063,42.54736059]",33,[0],12
34,山田食品有限会社 第 70 支店,632,[63],[419],"[[1200, 19200]]","[142.33987921,43.81858046]",34,[0],25
35,有限会社吉田鉱業 第 2 支店,1120,[60],[929],"[[16701, 34701]]","[144.14498275,42.98213874]",35,[0],77
36,合同会社山口鉱業 第 49 支店,1196,[73],[634],"[[2502, 20502]]","[142.48504303,43.90462161]",36,[0],16
37,長谷川水産株式会社 第 88 支店,1162,[67],[413],"[[15766, 33766]]","[142.38421976,44.16822678]",37,[0],4
38,合同会社高橋通信 第 28 支店,1191,[57],[613],"[[7802, 25802]]","[140.28217809,42.25362971]",38,[0],88
39,井上鉱業合同会社 第 55 支店,769,[74],[996],"[[11754, 29754]]","[140.68613223,42.76730798]",39,[0],27
40,山口鉱業有限会社 第 93 支店,811,[60],[416],"[[7519, 25519]]","[144.96320043,43.54850224]",40,[0],50
