,name,service,pickup,delivery,time_windows,location,location_index,skills,priority
0,合同会社藤本建設,916,[92],[137],"[[0, 36000]]","[139.48372896,36.08020962]",0,[0],64
1,有限会社西之園運輸,809,[78],[335],"[[0, 36000]]","[139.3262383,35.96836517]",1,"[0,1]",68
2,株式会社村山印刷,864,[79],[172],"[[0, 36000]]","[139.19460618,36.05815305]",2,"[0,1]",25
3,青田印刷合同会社,1031,[64],[867],"[[0, 36000]]","[139.66804321,36.09307749]",3,[0],98
4,合同会社山田水産,1056,[100],[815],"[[0, 36000]]","[139.51107504,35.90863789]",4,[0],87
5,有限会社吉田食品,1142,[54],[745],"[[0, 36000]]","[139.55317534,35.83156779]",5,[0],7
6,有限会社青山鉱業,671,[73],[947],"[[0, 36000]]","[139.28722611,36.08407503]",6,"[0,1]",26
7,有限会社喜嶋建設,987,[73],[244],"[[0, 36000]]","[139.71608656,36.04982823]",7,"[0,1]",25
8,有限会社工藤水産,1054,[91],[229],"[[0, 36000]]","[139.62916146,36.09267152]",8,[0],22
9,津田情報株式会社,1161,[99],[683],"[[0, 36000]]","[139.52909476,36.15423679]",9,[0],9
10,山岸農林株式会社,913,[80],[849],"[[0, 36000]]","[139.54590055,35.99456815]",10,"[0,1]",67
11,浜田保険有限会社,1115,[82],[608],"[[0, 36000]]","[139.36011647,35.79498379]",11,[0],23
12,野村建設有限会社,1097,[72],[490],"[[0, 36000]]","[139.21611963,36.04722731]",12,"[0,1]",100
13,山岸電気有限会社,643,[63],[381],"[[0, 36000]]","[139.30695455,36.19080125]",13,[0],27
14,株式会社三宅印刷,1188,[91],[278],"[[0, 36000]]","[139.46293794,35.82373752]",14,[0],37
15,有限会社原田情報,626,[59],[376],"[[0, 36000]]","[139.51471034,36.05771354]",15,"[0,1]",57
16,有限会社高橋運輸,936,[57],[354],"[[0, 36000]]","[139.74548574,36.01159379]",16,[0],83
17,佐々木電気株式会社,897,[72],[457],"[[0, 36000]]","[139.37493201,35.84508825]",17,"[0,1]",38
18,合同会社渡辺ガス,1066,[51],[568],"[[0, 36000]]","[139.30791926,35.84539123]",18,"[0,1]",8
19,株式会社高橋保険,615,[50],[352],"[[0, 36000]]","[139.36491248,36.23491271]",19,[0],32
