,name,zip,都道府県,市区町村,大字,location
0,合同会社前田建設 第 18 支店,870028,北海道,根室市,大正町,"[145.58482144,43.32789478]"
1,有限会社阿部運輸 第 73 支店,611363,北海道,恵庭市,島松沢,"[141.48771178,42.88547949]"
2,株式会社村上印刷 第 98 支店,800144,北海道,河東郡音更町,宝来北四条,"[143.22068173,42.9683251]"
3,佐藤印刷合同会社 第 9 支店,450205,北海道,古宇郡泊村,興志内村,"[140.49260869,43.12992568]"
4,合同会社青木水産 第 33 支店,500064,北海道,室蘭市,柏木町,"[140.99457790,42.37374247]"
5,有限会社福田食品 第 16 支店,800034,北海道,帯広市,西四条北,"[143.19682082,42.93866391]"
6,有限会社佐藤鉱業 第 64 支店,893966,北海道,足寄郡足寄町,螺湾本町,"[143.70707793,43.30943014]"
7,有限会社伊藤建設 第 98 支店,670072,北海道,江別市,一番町,"[141.54847614,43.10910413]"
8,有限会社山本水産 第 58 支店,440201,北海道,虻田郡喜茂別町,旭町,"[140.95005332,42.79549191]"
9,井上情報株式会社 第 61 支店,683186,北海道,岩見沢市,清水町,"[141.89745246,43.17788135]"
10,石井農林株式会社 第 84 支店,801400,北海道,河東郡上士幌町,以下に掲載がない場合,"[143.29618874,43.23254759]"
11,山下保険有限会社 第 49 支店,791261,北海道,赤平市,茂尻中央町北,"[142.08474263,43.53967423]"
12,森建設有限会社 第 27 支店,910008,北海道,北見市,留辺蘂町宮下町,"[143.62323903,43.78968508]"
13,近藤電気有限会社 第 13 支店,882573,北海道,野付郡別海町,西春別本久町,"[144.80214481,43.38752723]"
14,株式会社小川印刷 第 63 支店,480412,北海道,寿都郡寿都町,岩崎町,"[140.23744625,42.79098287]"
15,有限会社橋本情報 第 4 支店,491511,北海道,松前郡松前町,松城,"[140.10714258,41.43119519]"
16,有限会社山口運輸 第 50 支店,892151,北海道,広尾郡大樹町,高校通,"[143.27303662,42.49282492]"
17,加藤電気株式会社 第 56 支店,591502,北海道,勇払郡安平町,早来北進,"[141.83910685,42.76285568]"
18,合同会社岡本ガス 第 78 支店,920064,北海道,網走郡美幌町,青葉,"[144.11066224,43.81599258]"
19,株式会社山口保険 第 98 支店,711565,北海道,上川郡東神楽町,東五線,"[142.49340538,43.66629603]"
20,松本銀行株式会社 第 99 支店,681126,北海道,石狩郡新篠津村,豊ケ丘,"[141.66154436,43.23649818]"
21,三浦ガス有限会社 第 1 支店,800037,北海道,帯広市,西七条北,"[143.19207829,42.93913449]"
22,有限会社三浦水産 第 90 支店,450202,北海道,古宇郡泊村,茅沼村,"[140.54234400,43.08363496]"
23,長谷川銀行合同会社 第 58 支店,400075,北海道,函館市,万代町,"[140.72905027,41.78789597]"
24,山口ガス有限会社 第 35 支店,881649,北海道,厚岸郡浜中町,姉別緑栄,"[145.17194117,43.18347458]"
25,合同会社木村鉱業 第 93 支店,660069,北海道,千歳市,新星,"[141.60893876,42.81593883]"
26,佐々木食品有限会社 第 30 支店,740002,北海道,深川市,二条,"[142.04982551,43.72235365]"
27,清水ガス有限会社 第 76 支店,880109,北海道,釧路市,音別町音別原野東,"[143.86567784,42.91672338]"
28,株式会社田中ガス 第 14 支店,980336,北海道,上川郡剣淵町,旭町,"[142.34176456,44.10695261]"
29,小川運輸合同会社 第 41 支店,930134,北海道,網走市,越歳,"[144.06871290,43.95268279]"
30,合同会社森農林 第 4 支店,950019,北海道,士別市,大通東,"[142.39545948,44.16955511]"
31,株式会社前田建設 第 3 支店,992362,北海道,網走郡大空町,女満別朝日,"[144.22908669,43.90779361]"
32,有限会社中村水産 第 4 支店,630029,北海道,札幌市西区,平和,"[141.20899011,43.050125200000004]"
33,有限会社高橋建設 第 84 支店,892261,北海道,広尾郡大樹町,尾田,"[143.19345063,42.54736059]"
34,山田食品有限会社 第 70 支店,711221,北海道,上川郡鷹栖町,北野東一条,"[142.33987921,43.81858046]"
35,有限会社吉田鉱業 第 2 支店,880564,北海道,白糠郡白糠町,庶路（１区）,"[144.14498275,42.98213874]"
36,合同会社山口鉱業 第 49 支店,780325,北海道,上川郡比布町,北５線,"[142.48504303,43.90462161]"
37,長谷川水産株式会社 第 88 支店,950024,北海道,士別市,西四条,"[142.38421976,44.16822678]"
38,合同会社高橋通信 第 28 支店,493105,北海道,二海郡八雲町,東雲町,"[140.28217809,42.25362971]"
39,井上鉱業合同会社 第 55 支店,481552,北海道,虻田郡ニセコ町,宮田,"[140.68613223,42.76730798]"
40,山口鉱業有限会社 第 93 支店,861126,北海道,標津郡中標津町,西六条北,"[144.96320043,43.54850224]"
41,有限会社山本情報 第 4 支店,710543,北海道,空知郡上富良野町,中町,"[142.46585738,43.46261875]"
42,株式会社藤原銀行 第 68 支店,430031,北海道,檜山郡江差町,愛宕町,"[140.13213430,41.87602843]"
43,合同会社山本保険 第 29 支店,810226,北海道,河東郡鹿追町,上幌内,"[142.96372363,43.16814593]"
44,加藤建設株式会社 第 98 支店,894325,北海道,足寄郡陸別町,元町,"[143.74047012,43.46691192]"
45,佐藤運輸合同会社 第 57 支店,783307,北海道,留萌郡小平町,豊岡,"[141.75595754,43.94687518]"
46,田中銀行合同会社 第 64 支店,600811,北海道,札幌市北区,北十一条西（５～１１丁目）,"[141.34128441,43.07325235]"
47,山口食品有限会社 第 71 支店,481314,北海道,磯谷郡蘭越町,御成,"[140.41897959,42.85407296]"
48,合同会社吉田鉱業 第 30 支店,711466,北海道,上川郡東川町,北７線,"[142.61843717,43.70567677]"
49,有限会社山本電気 第 45 支店,591622,北海道,勇払郡厚真町,宇隆,"[141.94362288,42.70511876]"
50,合同会社青木水産 第 30 支店,861057,北海道,標津郡中標津町,東十七条北,"[144.98466111,43.56032632]"
51,株式会社岡本運輸 第 87 支店,613372,北海道,石狩市,弁天町,"[141.35212090,43.2494783]"
52,株式会社森運輸 第 29 支店,70826,北海道,札幌市東区,東雁来六条,"[141.41456744,43.08826593]"
53,中村銀行合同会社 第 98 支店,880615,北海道,釧路郡釧路町,睦,"[144.41396374,43.01139031]"
54,合同会社伊藤通信 第 59 支店,592414,北海道,新冠郡新冠町,朝日,"[142.35605806,42.40387268]"
55,株式会社藤井鉱業 第 38 支店,40866,北海道,札幌市清田区,北野六条,"[141.44118689,43.01992529]"
56,斎藤運輸有限会社 第 3 支店,440453,北海道,虻田郡喜茂別町,共栄,"[140.99314773,42.73890221]"
57,株式会社遠藤ガス 第 54 支店,490402,北海道,上磯郡木古内町,御宮野,"[140.54369309,41.72116091]"
58,坂本農林有限会社 第 72 支店,691211,北海道,夕張郡由仁町,岩内,"[141.83670181,42.9879849]"
59,株式会社鈴木銀行 第 83 支店,530033,北海道,苫小牧市,木場町,"[141.59108551,42.64152736]"
60,村上食品有限会社 第 13 支店,850202,北海道,釧路市,阿寒町上仁々志別,"[144.20687534,43.18539251]"
61,小林ガス株式会社 第 24 支店,930071,北海道,網走市,北一条西,"[144.26497080,44.02344791]"
62,株式会社坂本ガス 第 81 支店,883223,北海道,川上郡弟子屈町,仁多,"[144.53044559,43.50152151]"
63,山田建設合同会社 第 93 支店,411354,北海道,亀田郡七飯町,大沼町,"[140.68141625,41.97783782]"
64,佐藤情報株式会社 第 38 支店,982500,北海道,中川郡音威子府村,以下に掲載がない場合,"[142.26246332,44.72500377]"
65,合同会社佐藤建設 第 16 支店,60003,北海道,札幌市手稲区,西宮の沢三条,"[141.26284956,43.10060049]"
66,吉田農林株式会社 第 96 支店,770044,北海道,留萌市,錦町,"[141.64404090,43.93875659]"
67,合同会社鈴木銀行 第 43 支店,70848,北海道,札幌市東区,北四十八条東,"[141.35592842,43.11942326]"
68,合同会社藤井建設 第 93 支店,750018,北海道,芦別市,常磐町,"[142.15606484,43.56026757]"
69,有限会社鈴木情報 第 92 支店,881486,北海道,厚岸郡浜中町,熊牛,"[145.12843272,43.19296828]"
70,株式会社岡本建設 第 65 支店,411241,北海道,北斗市,稲里,"[140.66089855,41.90476486]"
71,山田食品株式会社 第 55 支店,494752,北海道,久遠郡せたな町,北檜山区若松,"[139.92772512,42.35035312]"
72,藤原保険株式会社 第 65 支店,788823,北海道,旭川市,西御料３条,"[142.37137656,43.72463005]"
73,有限会社松田ガス 第 86 支店,590000,北海道,登別市,以下に掲載がない場合,"[141.10663115,42.41275947]"
74,阿部建設有限会社 第 25 支店,491524,北海道,松前郡松前町,白神,"[140.18827347,41.41188869]"
75,株式会社鈴木建設 第 39 支店,592124,北海道,沙流郡日高町,庫富,"[142.16011859,42.53142211]"
76,山田情報有限会社 第 37 支店,783702,北海道,苫前郡苫前町,栄浜,"[141.66467634,44.31384817]"
77,小林建設株式会社 第 76 支店,994134,北海道,斜里郡斜里町,豊里,"[144.70173969,43.80013819]"
78,合同会社坂本建設 第 64 支店,680425,北海道,夕張市,若菜,"[141.96992667,43.02725659]"
79,有限会社木村ガス 第 65 支店,861811,北海道,目梨郡羅臼町,瀬石,"[145.30154387,44.175943200000006]"
80,株式会社伊藤水産 第 51 支店,611375,北海道,恵庭市,南島松,"[141.60100062,42.91003162]"
81,鈴木水産有限会社 第 76 支店,620024,北海道,札幌市豊平区,月寒西四条,"[141.38808188,43.02741003]"
82,合同会社佐々木銀行 第 5 支店,718121,北海道,旭川市,末広東１条,"[142.39551459,43.80825692]"
83,有限会社小川農林 第 62 支店,890626,北海道,中川郡幕別町,西猿別,"[143.33263486,42.87151203]"
84,田中運輸合同会社 第 32 支店,640945,北海道,札幌市中央区,盤渓,"[141.25308794,43.02297375]"
85,山本農林有限会社 第 96 支店,991400,北海道,常呂郡訓子府町,以下に掲載がない場合,"[143.74172998,43.72525446]"
86,山本銀行株式会社 第 52 支店,970002,北海道,稚内市,潮見,"[141.70287813,45.39482757]"
