,name,zip,都道府県,市区町村,大字,location
0,合同会社藤本建設 第 18 支店,3650063,埼玉県,鴻巣市,稲荷町,"[139.48372896,36.08020962]"
1,有限会社西之園運輸 第 73 支店,3500323,埼玉県,比企郡鳩山町,小用,"[139.3262383,35.96836517]"
2,株式会社村山印刷 第 98 支店,3550300,埼玉県,比企郡ときがわ町,以下に掲載がない場合,"[139.19460618,36.05815305]"
3,青田印刷合同会社 第 9 支店,3400217,埼玉県,久喜市,鷲宮,"[139.66804321,36.09307749]"
4,合同会社山田水産 第 33 支店,3500021,埼玉県,川越市,大中居,"[139.51107504,35.90863789]"
5,有限会社吉田食品 第 16 支店,3540017,埼玉県,富士見市,針ケ谷,"[139.55317534,35.83156779]"
6,有限会社青山鉱業 第 64 支店,3550303,埼玉県,比企郡小川町,奈良梨,"[139.28722611,36.08407503]"
7,有限会社喜嶋建設 第 98 支店,3450047,埼玉県,北葛飾郡杉戸町,高野台東,"[139.71608656,36.04982823]"
8,有限会社工藤水産 第 58 支店,3470023,埼玉県,加須市,北辻,"[139.62916146,36.09267152]"
9,津田情報株式会社 第 61 支店,3480037,埼玉県,羽生市,小松,"[139.52909476,36.15423679]"
10,山岸農林株式会社 第 84 支店,3630028,埼玉県,桶川市,下日出谷西,"[139.54590055,35.99456815]"
11,浜田保険有限会社 第 49 支店,3580017,埼玉県,入間市,駒形富士山,"[139.36011647,35.79498379]"
12,野村建設有限会社 第 27 支店,3550374,埼玉県,秩父郡東秩父村,安戸,"[139.21611963,36.04722731]"
13,山岸電気有限会社 第 13 支店,3660031,埼玉県,深谷市,国済寺町,"[139.30695455,36.19080125]"
14,株式会社三宅印刷 第 63 支店,3590005,埼玉県,所沢市,神米金,"[139.46293794,35.82373752]"
15,有限会社原田情報 第 4 支店,3650038,埼玉県,鴻巣市,本町,"[139.51471034,36.05771354]"
16,有限会社高橋運輸 第 50 支店,3450803,埼玉県,南埼玉郡宮代町,宮東,"[139.74548574,36.01159379]"
17,佐々木電気株式会社 第 56 支店,3580004,埼玉県,入間市,鍵山,"[139.37493201,35.84508825]"
18,合同会社渡辺ガス 第 78 支店,3570041,埼玉県,飯能市,美杉台,"[139.30791926,35.84539123]"
19,株式会社高橋保険 第 98 支店,3600241,埼玉県,熊谷市,妻沼台,"[139.36491248,36.23491271]"
20,田辺銀行株式会社 第 99 支店,3500112,埼玉県,比企郡川島町,鳥羽井新田,"[139.49149965,36.00356841]"
21,吉本ガス有限会社 第 1 支店,3491115,埼玉県,久喜市,新井,"[139.69538302,36.10428181]"
22,有限会社吉本水産 第 90 支店,3300055,埼玉県,さいたま市浦和区,東高砂町,"[139.66031324,35.85812348]"
23,宮沢銀行合同会社 第 58 支店,3450032,埼玉県,北葛飾郡杉戸町,広戸沼,"[139.76290835,36.04662036]"
24,田中ガス有限会社 第 35 支店,3600027,埼玉県,熊谷市,新川,"[139.42091397,36.10984772]"
25,合同会社中島鉱業 第 93 支店,3500431,埼玉県,入間郡毛呂山町,苦林,"[139.34579246,35.96523895]"
26,杉山食品有限会社 第 30 支店,3500051,埼玉県,川越市,志多町,"[139.48298155,35.92869498]"
27,渚ガス有限会社 第 76 支店,3480011,埼玉県,羽生市,三田ケ谷,"[139.60413698,36.17269137]"
28,株式会社加藤ガス 第 14 支店,3670112,埼玉県,児玉郡美里町,木部,"[139.17554663,36.17173005]"
29,三宅運輸合同会社 第 41 支店,3300852,埼玉県,さいたま市大宮区,大成町,"[139.61544355,35.91404725]"
30,合同会社野村農林 第 4 支店,3502214,埼玉県,鶴ヶ島市,太田ヶ谷,"[139.40116493,35.92361761]"
