,name,zip,都道府県,市区町村,大字,location
0,合同会社前田建設 第 18 支店,3650063,埼玉県,鴻巣市,稲荷町,"[139.48372896,36.08020962]"
1,有限会社阿部運輸 第 73 支店,3500323,埼玉県,比企郡鳩山町,小用,"[139.3262383,35.96836517]"
2,株式会社村上印刷 第 98 支店,3550300,埼玉県,比企郡ときがわ町,以下に掲載がない場合,"[139.19460618,36.05815305]"
3,佐藤印刷合同会社 第 9 支店,3400217,埼玉県,久喜市,鷲宮,"[139.66804321,36.09307749]"
4,合同会社青木水産 第 33 支店,3500021,埼玉県,川越市,大中居,"[139.51107504,35.90863789]"
5,有限会社福田食品 第 16 支店,3540017,埼玉県,富士見市,針ケ谷,"[139.55317534,35.83156779]"
6,有限会社佐藤鉱業 第 64 支店,3550303,埼玉県,比企郡小川町,奈良梨,"[139.28722611,36.08407503]"
7,有限会社伊藤建設 第 98 支店,3450047,埼玉県,北葛飾郡杉戸町,高野台東,"[139.71608656,36.04982823]"
8,有限会社山本水産 第 58 支店,3470023,埼玉県,加須市,北辻,"[139.62916146,36.09267152]"
9,井上情報株式会社 第 61 支店,3480037,埼玉県,羽生市,小松,"[139.52909476,36.15423679]"
10,石井農林株式会社 第 84 支店,3630028,埼玉県,桶川市,下日出谷西,"[139.54590055,35.99456815]"
11,山下保険有限会社 第 49 支店,3580017,埼玉県,入間市,駒形富士山,"[139.36011647,35.79498379]"
12,森建設有限会社 第 27 支店,3550374,埼玉県,秩父郡東秩父村,安戸,"[139.21611963,36.04722731]"
13,近藤電気有限会社 第 13 支店,3660031,埼玉県,深谷市,国済寺町,"[139.30695455,36.19080125]"
14,株式会社小川印刷 第 63 支店,3590005,埼玉県,所沢市,神米金,"[139.46293794,35.82373752]"
15,有限会社橋本情報 第 4 支店,3650038,埼玉県,鴻巣市,本町,"[139.51471034,36.05771354]"
16,有限会社山口運輸 第 50 支店,3450803,埼玉県,南埼玉郡宮代町,宮東,"[139.74548574,36.01159379]"
